(Mar 23 2022 21:56:06,  856376 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 21:56:20,  856390 sec) CLogin()             Connection 1 established in 14 seconds.
(Mar 23 2022 21:56:51,  856421 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 21:56:51,  856421 sec) login()              Login failed.
(Mar 23 2022 21:57:21,  856451 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 23 2022 21:57:21,  856451 sec) login()              Login prompt not received.
(Mar 23 2022 21:57:37,  856467 sec) CLogin()             Connection 2 established in 91 seconds.
(Mar 23 2022 21:58:10,  856500 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 21:58:10,  856500 sec) login()              Login failed.
(Mar 23 2022 21:59:09,  856559 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 21:59:09,  856559 sec) login()              Password prompt not received.
(Mar 23 2022 21:59:09,  856559 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 22:00:10,  856620 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:00:10,  856620 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:00:10,  856620 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:01:11,  856681 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:01:11,  856681 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:01:11,  856681 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:01:11,  856681 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 22:01:12,  856682 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Mar 23 2022 22:01:18,  856688 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 22:01:27,  856697 sec) CLogin()             Connection 3 established in 10 seconds.
(Mar 23 2022 22:01:59,  856729 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:01:59,  856729 sec) login()              Login failed.
(Mar 23 2022 22:02:58,  856788 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 22:02:58,  856788 sec) login()              Password prompt not received.
(Mar 23 2022 22:03:08,  856798 sec) CLogin()             Connection 4 established in 111 seconds.
(Mar 23 2022 22:03:39,  856829 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:03:39,  856829 sec) login()              Login failed.
(Mar 23 2022 22:04:38,  856888 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 22:04:38,  856888 sec) login()              Password prompt not received.
(Mar 23 2022 22:04:38,  856888 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 22:05:39,  856949 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:05:39,  856949 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:05:39,  856949 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:06:40,  857010 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:06:40,  857010 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:06:40,  857010 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:06:40,  857010 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 22:06:41,  857011 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Mar 23 2022 22:06:41,  857011 sec) DownLoadMissionCfg(  Aborting download: Retry limit [2] exceeded.
(Mar 23 2022 22:06:41,  857011 sec) WriteVitals()        Writing vitals to "7827.238.msg".
(Mar 23 2022 22:06:48,  857018 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 22:07:00,  857031 sec) CLogin()             Connection 5 established in 12 seconds.
(Mar 23 2022 22:07:32,  857062 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:07:32,  857062 sec) login()              Login failed.
(Mar 23 2022 22:08:31,  857121 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 22:08:31,  857121 sec) login()              Password prompt not received.
(Mar 23 2022 22:08:39,  857129 sec) CLogin()             Connection 6 established in 111 seconds.
(Mar 23 2022 22:09:11,  857161 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:09:11,  857161 sec) login()              Login failed.
(Mar 23 2022 22:09:41,  857191 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 23 2022 22:09:41,  857191 sec) login()              Login prompt not received.
(Mar 23 2022 22:09:41,  857191 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 22:10:42,  857252 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:10:42,  857252 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:10:42,  857252 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:11:43,  857313 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:11:43,  857313 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:11:43,  857313 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:11:43,  857313 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 22:11:44,  857315 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 22:12:46,  857376 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:12:46,  857376 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Mar 23 2022 22:12:46,  857376 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:12:56,  857386 sec) CLogin()             Connection 7 established in 72 seconds.
(Mar 23 2022 22:13:29,  857419 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:13:29,  857419 sec) login()              Login failed.
(Mar 23 2022 22:13:59,  857449 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 23 2022 22:13:59,  857449 sec) login()              Login prompt not received.
(Mar 23 2022 22:13:59,  857449 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 22:15:00,  857510 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:15:00,  857510 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:15:00,  857510 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:16:01,  857571 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:16:01,  857571 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:16:01,  857571 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:16:01,  857571 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 22:16:02,  857572 sec) UpLoad()             Files successfully uploaded: 0
(Mar 23 2022 22:16:02,  857572 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Mar 23 2022 22:16:02,  857572 sec) logout()             No carrier detected.
(Mar 23 2022 22:16:02,  857572 sec) Telemetry()          Telemetry cycle complete: PrfId=238 ConnectionAttempts=16  Connections=7
(Mar 23 2022 22:31:17,  858487 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Mar 23 2022 22:32:19,  858549 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.6dbars / 250.2uM 23.047C 30.186 8.868 175.162 / 81,185,536
(Mar 23 2022 22:32:27,  858557 sec) GpsServices()        GPS almanac is current.
(Mar 23 2022 22:32:27,  858557 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 23 2022 22:32:43,  858573 sec) gga()                $GPGGA,223230,1824.5484,N,05936.2141,E,0,00,,,M,,M,,*52
(Mar 23 2022 22:32:54,  858584 sec) gga()                $GPGGA,223230,1824.5484,N,05936.2141,E,0,00,,,M,,M,,*52
(Mar 23 2022 22:33:37,  858627 sec) gga()                $GPGGA,223240,1824.1918,N,05936.1224,E,1,10,0.8,5.3,M,-47.3,M,,*67
(Mar 23 2022 22:33:37,  858627 sec) GpsServices()        Profile 238 GPS fix obtained in 70 seconds.
(Mar 23 2022 22:33:37,  858628 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 23 2022 22:33:38,  858628 sec) GpsServices()        Fix:   59.602  18.403 03/23/2022 223240   10
(Mar 23 2022 22:34:24,  858674 sec) gga()                $GPGGA,223340,1824.1825,N,05936.1204,E,1,11,0.7,7.7,M,-47.3,M,,*63
(Mar 23 2022 22:34:32,  858682 sec) gga()                $GPGGA,223430,1824.1748,N,05936.1176,E,1,11,0.7,8.1,M,-47.3,M,,*68
(Mar 23 2022 22:34:32,  858682 sec) GpsServices()        APF9 RTC skew (2s) OK.
(Mar 23 2022 22:34:32,  858682 sec) GpsServices()        GPS services complete.
(Mar 23 2022 22:35:14,  858724 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 22:35:27,  858737 sec) CLogin()             Connection 8 established in 13 seconds.
(Mar 23 2022 22:35:58,  858768 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:35:58,  858768 sec) login()              Login failed.
(Mar 23 2022 22:36:28,  858798 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 23 2022 22:36:28,  858798 sec) login()              Login prompt not received.
(Mar 23 2022 22:36:44,  858814 sec) CLogin()             Connection 9 established in 90 seconds.
(Mar 23 2022 22:37:17,  858847 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:37:17,  858847 sec) login()              Login failed.
(Mar 23 2022 22:37:17,  858847 sec) login()              No carrier detected.
(Mar 23 2022 22:37:17,  858847 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 22:38:18,  858908 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:38:18,  858908 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:38:18,  858908 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:39:19,  858969 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:39:19,  858969 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:39:19,  858969 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:39:19,  858969 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 22:39:20,  858970 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Mar 23 2022 22:39:26,  858976 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 22:39:39,  858989 sec) CLogin()             Connection 10 established in 14 seconds.
(Mar 23 2022 22:39:46,  858997 sec) login()              Login successful.
(Mar 23 2022 22:39:50,  859001 sec) CLogin()             Logged in to host.  [Login required 11 seconds]
(Mar 23 2022 22:40:03,  859013 sec) RxConfig()           Downloading "mission.cfg" from host.
(Mar 23 2022 22:40:05,  859015 sec) Rx()                 Initiating transfer. [0x43]
(Mar 23 2022 22:40:07,  859017 sec) RxStartByte()        Sync errors encountered: 698
(Mar 23 2022 22:40:10,  859020 sec) Rx()                 Truncated packet received - retrying.
(Mar 23 2022 22:40:10,  859021 sec) Rx()                 Corrupt packet received - retrying.
(Mar 23 2022 22:40:13,  859023 sec) RxStartByte()        Sync errors encountered: 895
(Mar 23 2022 22:40:15,  859025 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Mar 23 2022 22:40:20,  859030 sec) Rx()                 Previous packet received again - resyncing.
(Mar 23 2022 22:40:25,  859035 sec) Rx()                 False EOT packet detected - ignoring.
(Mar 23 2022 22:40:36,  859046 sec) Rx()                 Packet timeout - retrying.
(Mar 23 2022 22:40:47,  859057 sec) Rx()                 Packet timeout - retrying.
(Mar 23 2022 22:40:58,  859068 sec) Rx()                 Packet timeout - retrying.
(Mar 23 2022 22:41:09,  859079 sec) Rx()                 Packet timeout - retrying.
(Mar 23 2022 22:41:20,  859090 sec) Rx()                 Packet timeout - retrying.
(Mar 23 2022 22:41:31,  859101 sec) Rx()                 Packet timeout - retrying.
