(Jan 24 2018 18:43:19,   86736 sec) CLogin()             Connection 7 established in 22 seconds.
(Jan 24 2018 18:43:50,   86766 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:43:50,   86767 sec) login()              Login prompt not received.
(Jan 24 2018 18:44:20,   86796 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:44:20,   86797 sec) login()              Login prompt not received.
(Jan 24 2018 18:44:58,   86835 sec) CLogin()             Connection 8 established in 121 seconds.
(Jan 24 2018 18:45:28,   86864 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:45:28,   86865 sec) login()              Login prompt not received.
(Jan 24 2018 18:45:58,   86894 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:45:58,   86895 sec) login()              Login prompt not received.
(Jan 24 2018 18:45:58,   86895 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Jan 24 2018 18:46:59,   86955 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 18:46:59,   86956 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 18:46:59,   86956 sec) connect()            Connection attempt failed.
(Jan 24 2018 18:48:00,   87016 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 18:48:00,   87017 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 18:48:00,   87017 sec) connect()            Connection attempt failed.
(Jan 24 2018 18:48:00,   87017 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Jan 24 2018 18:48:01,   87018 sec) CLogin()             Connecting to primary host.
(Jan 24 2018 18:48:18,   87035 sec) CLogin()             Connection 9 established in 17 seconds.
(Jan 24 2018 18:48:48,   87064 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:48:48,   87065 sec) login()              Login prompt not received.
(Jan 24 2018 18:49:18,   87094 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:49:18,   87095 sec) login()              Login prompt not received.
(Jan 24 2018 18:49:31,   87108 sec) CLogin()             Connection 10 established in 90 seconds.
(Jan 24 2018 18:50:02,   87138 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 18:50:02,   87139 sec) login()              Login prompt not received.
