(Jul 11 2020 23:35:33,  867980 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:35:33,  867981 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:35:44,  867991 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:35:44,  867992 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:35:55,  868002 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:35:55,  868003 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:35:55,  868003 sec) Rx()                 Attempt to read packet 1 failed.  Transfer aborted.
(Jul 11 2020 23:36:06,  868014 sec) RxConfig()           Download failed.
(Jul 11 2020 23:36:07,  868015 sec) DownLoadMissionCfg(  Keeping previous version of "mission.cfg".
(Jul 11 2020 23:36:21,  868029 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 11 2020 23:36:23,  868031 sec) Rx()                 Initiating transfer. [0x15]
(Jul 11 2020 23:36:35,  868042 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:36:46,  868053 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:36:57,  868064 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:37:08,  868075 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:37:08,  868076 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:37:19,  868086 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:37:19,  868087 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:37:30,  868097 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:37:30,  868098 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:37:41,  868108 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:37:41,  868109 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:37:52,  868119 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:37:52,  868120 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:38:03,  868130 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:38:03,  868131 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:38:14,  868141 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:38:14,  868142 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:38:14,  868142 sec) Rx()                 Attempt to read packet 1 failed.  Transfer aborted.
(Jul 11 2020 23:38:25,  868153 sec) RxConfig()           Download failed.
(Jul 11 2020 23:38:42,  868170 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 11 2020 23:38:44,  868172 sec) Rx()                 Initiating transfer. [0x15]
(Jul 11 2020 23:39:03,  868190 sec) RxStartByte()        Sync errors encountered: 45
(Jul 11 2020 23:39:03,  868191 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:39:14,  868201 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:39:25,  868212 sec) Rx()                 Re-initiating transfer. [0x15]
(Jul 11 2020 23:39:36,  868223 sec) Rx()                 Switching from 16-bit CRC to checksum.
(Jul 11 2020 23:39:36,  868224 sec) Rx()                 Re-initiating transfer. [0x15]
