"start row"	"Oxygen Model"	"WMO id"	"Webb number"	"Oxy Sensor serial number"	"a0 - SOC TCof1"	"a1 - Foffset TCof2"	"a2 - Tcor TCof3"	"a3 - Pcor TCof4"	"a4 - PCof1"	"a5 - PCof2"	"a6 - PCof3"	"a7 - PCof4"	"a8 - FCofA0"	"a9 - FCofA1"	"a10 - FCofA2"	"a11 - FCofA3"	"a12 - FCofA4"	"a13 - FCofA5"	"a14 - FCofA6"	"a15 - FCofA7"	"a16 - FCofA8"	"a17 - FCofA9"	"a18 - FCofA10"	"a19 - FCofA11"	"a20 - FCofA12"	"a21 - FCofA13"	"a22 - FCofB0"	"a23 - FCofB1"	"a24 - FCofB2"	"a25 - FCofB3"	"a26 - FCofB4"	"a27 - FCofB5"	"a28 - FCofB6"	"a29 - CCof1"	"a30 - CCof2"	"a31 - FLBBCHLscale"	"a32 - FLBBCHLdc"	"a33 - FLBB700scale"	"a34 - FLBB700dc"	"a35 - FLBB Ser#"	"a36 - FLBBangle"	"a37 - FLBBchi"	endrow
11111	IDO	2901074	3599	285	1.56E-04	-3.19E+03	3.25E-06	-9.57E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.9999E+04
11111	IDO	2901075	3600	280	1.40E-04	-3.06E+03	3.25E-06	-9.57E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.9999E+04
"start row"	"Oxygen Model"	"WMO id"	"Webb number"	"Oxy Sensor serial number"	"a0 - SOC TCof1"	"a1 - Foffset TCof2"	"a2 - Tcor TCof3"	"a3 - Pcor TCof4"	"a4 - PCof1"	"a5 - PCof2"	"a6 - PCof3"	"a7 - PCof4"	"a8 - FCofA0"	"a9 - FCofA1"	"a10 - FCofA2"	"a11 - FCofA3"	"a12 - FCofA4"	"a13 - FCofA5"	"a14 - FCofA6"	"a15 - FCofA7"	"a16 - FCofA8"	"a17 - FCofA9"	"a18 - FCofA10"	"a19 - FCofA11"	"a20 - FCofA12"	"a21 - FCofA13"	"a22 - FCofB0"	"a23 - FCofB1"	"a24 - FCofB2"	"a25 - FCofB3"	"a26 - FCofB4"	"a27 - FCofB5"	"a28 - FCofB6"	"a29 - CCof1"	"a30 - CCof2"	"a31 - FLBBCHLscale"	"a32 - FLBBCHLdc"	"a33 - FLBB700scale"	"a34 - FLBB700dc"	"a35 - FLBB Ser#"	"a36 - FLBBangle"	"a37 - FLBBchi"	endrow
11111	"Optode 4330"	2902298	8675	3116	2.79488E-03	1.22060E-04	2.27917E-06	2.14225E02	-2.72150E-01	-4.61717E01	4.31304E00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.0073	46	1.708E-06	42	5437	140	1.167	9.9999E+04
"start row"	"Oxygen Model"	"WMO id"	"Webb number"	"Oxy Sensor serial number"	"a0 - SOC TCof1"	"a1 - Foffset TCof2"	"a2 - Tcor TCof3"	"a3 - Pcor TCof4"	"a4 - PCof1"	"a5 - PCof2"	"a6 - PCof3"	"a7 - PCof4"	"a8 - FCofA0"	"a9 - FCofA1"	"a10 - FCofA2"	"a11 - FCofA3"	"a12 - FCofA4"	"a13 - FCofA5"	"a14 - FCofA6"	"a15 - FCofA7"	"a16 - FCofA8"	"a17 - FCofA9"	"a18 - FCofA10"	"a19 - FCofA11"	"a20 - FCofA12"	"a21 - FCofA13"	"a22 - FCofB0"	"a23 - FCofB1"	"a24 - FCofB2"	"a25 - FCofB3"	"a26 - FCofB4"	"a27 - FCofB5"	"a28 - FCofB6"	"a29 - CCof1"	"a30 - CCof2"	"a31 - FLBBCHLscale"	"a32 - FLBBCHLdc"	"a33 - FLBB700scale"	"a34 - FLBB700dc"	"a35 - FLBB Ser#"	"a36 - FLBBangle"	"a37 - FLBBchi"	endrow
11111	"Optode 4330"	2902296	8673	3114	2.78351E-03	1.21469E-04	2.24325E-06	1.46836E02	-2.27139E-01	-3.20419E01	2.94298E00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.0073	46	1.689E-06	37	5435	140	1.167	9.9999E+04
