"start marker"	"Argos number"	"WMO id"	"Manufacturer Serial Number"	column_5	reprate	"Parktime (days)"	"Float subtype"	column_9	"asctime (hours)"	surftime	"Park Pressure"	uptime	"Profile pressure"	column_15	column_16	column_17	column_18	column_19	column_20	column_21	column_22	column_23	column_24	column_25	column_26	column_27	column_28	"manual date"	"firmware date/software date"	column_31	column_32	column_33	"format standard number"	column_35	column_36
column1	8671	2902274	8671	464	0	9.50	1023	222	5.4	6.6	1000	12	2000	6	222		1	240	66		25	67						102118	102418				001020		
column1	8499	2902275	8499	465	0	9.50	1023	222	5.4	6.6	1000	12	2000	6	222		1	240	66		25	67						102118	102418				001020		
"start marker"	"Argos number"	"WMO id"	"Manufacturer Serial Number"	column_5	reprate	"Parktime (days)"	"Float subtype"	column_9	"asctime (hours)"	surftime	"Park Pressure"	uptime	"Profile pressure"	column_15	column_16	column_17	column_18	column_19	column_20	column_21	column_22	column_23	column_24	column_25	column_26	column_27	column_28	"manual date"	"firmware date/software date"	column_31	column_32	column_33	"format standard number"
column1	8675	2902298	8675	485	0	9.50	1023	222	5.4	6.6	1000	12	2000	6	222		1	240	66		25	67						102118	102418				001020
"start marker"	"Argos number"	"WMO id"	"Manufacturer Serial Number"	column_5	reprate	"Parktime (days)"	"Float subtype"	column_9	"asctime (hours)"	surftime	"Park Pressure"	uptime	"Profile pressure"	column_15	column_16	column_17	column_18	column_19	column_20	column_21	column_22	column_23	column_24	column_25	column_26	column_27	column_28	"manual date"	"firmware date/software date"	column_31	column_32	column_33	"format standard number"
column1	8673	2902296	8673	487	0	9.50	1023	222	5.4	6.6	1000	12	2000	6	222		1	240	66		25	67						102118	102418				001020
