"start row"	"WMO id"	"Webb number"	"Transmiss SN"	TMdark	Tmair	Tmref	"FLBB 700nm ser#"	"FLBB 700nm dark cnts"	"FLBB 700nm scale factor"	"FLBB CHL dark counts"	"FLBB CHL scale factor"	"BBP700 angle"	"BBP700 Chi"	"CDOM dark counts"	"CDOM scale factor"	"FLBB 532nm dark cnts"	"FLBB 532nm scale factor"	"BBP532 angle"	"BBP532 Chi"	"FLBB 470nm dark cnts"	"FLBB 470nm scale factor"	"BBP470 angle"	"BBP470 Chi"	"EcoBBP700 ser#"	"EcoBBP700 dark cnts"	"EcoBBP700 scale"	"EcoBBP700 angle"	"EcoBBP700 Chi"	"EcoBBP532 dark counts"	"EcoBBP532 scale"	"EcoBBP532 angle"	"EcoBBP532 Chi"	"EcoBBP470 dark counts"	"EcoBBP470 scale"	"EcoBBP470 angle"	"EcoBBP470 Chi"	"SUNA SN"	"SUNA cals from here…"	"pH SN"	pH	endrow
11111	2902274	8671					5420	46	1.728E-06	46	0.0073	140	1.167																												9.9999E+04
11111	2902275	8499					5226	34	1.697E-06	44	0.0073	140	1.167																												9.9999E+04
"start row"	"WMO id"	"Webb number"	"Transmiss SN"	TMdark	Tmair	Tmref	"FLBB 700nm ser#"	"FLBB 700nm dark cnts"	"FLBB 700nm scale factor"	"FLBB CHL dark counts"	"FLBB CHL scale factor"	"BBP700 angle"	"BBP700 Chi"	"CDOM dark counts"	"CDOM scale factor"	"FLBB 532nm dark cnts"	"FLBB 532nm scale factor"	"BBP532 angle"	"BBP532 Chi"	"FLBB 470nm dark cnts"	"FLBB 470nm scale factor"	"BBP470 angle"	"BBP470 Chi"	"EcoBBP700 ser#"	"EcoBBP700 dark cnts"	"EcoBBP700 scale"	"EcoBBP700 angle"	"EcoBBP700 Chi"	"EcoBBP532 dark counts"	"EcoBBP532 scale"	"EcoBBP532 angle"	"EcoBBP532 Chi"	"EcoBBP470 dark counts"	"EcoBBP470 scale"	"EcoBBP470 angle"	"EcoBBP470 Chi"	"SUNA SN"	"SUNA cals from here…"	"pH SN"	pH	endrow
11111	2902298	8675					5437	42	1.708E-06	46	0.0073	140	1.167																												9.9999E+04
"start row"	"WMO id"	"Webb number"	"Transmiss SN"	TMdark	Tmair	Tmref	"FLBB 700nm ser#"	"FLBB 700nm dark cnts"	"FLBB 700nm scale factor"	"FLBB CHL dark counts"	"FLBB CHL scale factor"	"BBP700 angle"	"BBP700 Chi"	"CDOM dark counts"	"CDOM scale factor"	"FLBB 532nm dark cnts"	"FLBB 532nm scale factor"	"BBP532 angle"	"BBP532 Chi"	"FLBB 470nm dark cnts"	"FLBB 470nm scale factor"	"BBP470 angle"	"BBP470 Chi"	"EcoBBP700 ser#"	"EcoBBP700 dark cnts"	"EcoBBP700 scale"	"EcoBBP700 angle"	"EcoBBP700 Chi"	"EcoBBP532 dark counts"	"EcoBBP532 scale"	"EcoBBP532 angle"	"EcoBBP532 Chi"	"EcoBBP470 dark counts"	"EcoBBP470 scale"	"EcoBBP470 angle"	"EcoBBP470 Chi"	"SUNA SN"	"SUNA cals from here…"	"pH SN"	pH	endrow
11111	2902296	8673					5435	37	1.689E-06	46	0.0073	140	1.167																												9.9999E+04
