"""expected"" vs ""live"""	column_2	"grey are ""dead"","	"blue are giving ""suspect"" data,         red are ""evil"" - bad but will not die!,             yellow are ""unknown"""	column_5	column_6	column_7	column_8	column_9	column_10	column_11	column_12	column_13	column_14	column_15	column_16	column_17	column_18	column_19	"yellow are ""unknown"""	column_21	column_22	column_23	column_24	"Float subtype 1001 = APF9a"	column_26	column_27	column_28	column_29	column_1	column_2_2
Column1	Dead	20190505195800	18.1	67.95	22	2902274	8671	022-0319	464	Incois	846	SBE41CP	11396	i022-0319	0	10978848	0	4	6.94	2	1000	10	2000	"ORV SAGAR KANYA"	0	webb	1023		DRUCK	endrow
Column1	live	20190507133800	18.46	67.42	39	2902275	8499	039-0319	465	Incois	846	SBE41CP	11402	i039-0319	0	10978618	0	4	6.94	2	1000	10	2000	"ORV SAGAR KANYA"	0	webb	1023		DRUCK	endrow
"""expected"" vs ""live"""	column_2	"grey are ""dead"","	"blue are giving ""suspect"" data,         red are ""evil"" - bad but will not die!,             yellow are ""unknown"""	column_5	column_6	column_7	column_8	column_9	column_10	column_11	column_12	column_13	column_14	column_15	column_16	column_17	column_18	column_19	"yellow are ""unknown"""	column_21	column_22	column_23	column_24	"Float subtype 1001 = APF9a"	column_26	column_27	column_28	column_29	column_1	column_2_2
Column1	Dead	20200223131500	-61.98	57.51	5	2902298	8675	005-0319	485	Incois	846	SBE41CP	11371	i005-0319	0	11056068	0	4	6.94	2	1000	10	2000	"S.A. Agulhas"	0	webb	1023		DRUCK	endrow
"""expected"" vs ""live"""	column_2	"grey are ""dead"","	"blue are giving ""suspect"" data,         red are ""evil"" - bad but will not die!,             yellow are ""unknown"""	column_5	column_6	column_7	column_8	column_9	column_10	column_11	column_12	column_13	column_14	column_15	column_16	column_17	column_18	column_19	"yellow are ""unknown"""	column_21	column_22	column_23	column_24	"Float subtype 1001 = APF9a"	column_26	column_27	column_28	column_29	column_1	column_2_2
Column1	live	20200228191700	-50.44	57.5	29	2902296	8673	029-0319	487	Incois	846	SBE41CP	11400	i029-0319	0	10978615	0	4	6.94	2	1000	10	2000	"ORV SAGAR NIDHI"	0	webb	1023		DRUCK	endrow
