(Jun 28 2017 10:21:53,  846113 sec) TelemetryInit()      Profile 97. (Apf9i FwRev: 012811)
(Jun 28 2017 10:28:59,  846539 sec) AirSystem()          Battery [189cnt, 14.7V]  Current [79cnt, 31.8mA]  Barometer [128cnt, 7.1"Hg]  Run-Time [52s]
(Jun 28 2017 10:29:51,  846591 sec) GpsServices()        GPS almanac is current.
(Jun 28 2017 10:29:51,  846591 sec) GpsServices()        Initiating GPS fix acquisition.
(Jun 28 2017 10:30:06,  846606 sec) gga()                $GPGGA,103010,1312.2101,N,08609.6419,E,0,00,,,M,,M,,*50
(Jun 28 2017 10:30:20,  846620 sec) gga()                $GPGGA,103010,1312.2101,N,08609.6419,E,0,00,,,M,,M,,*50
(Jun 28 2017 10:30:30,  846630 sec) gga()                $GPGGA,103020,1312.2101,N,08609.6419,E,0,00,,,M,,M,,*53
(Jun 28 2017 10:30:40,  846640 sec) gga()                $GPGGA,103030,1312.2101,N,08609.6419,E,0,00,,,M,,M,,*52
(Jun 28 2017 10:30:50,  846650 sec) gga()                $GPGGA,103040,1312.2101,N,08609.6419,E,0,00,,,M,,M,,*55
(Jun 28 2017 10:31:00,  846660 sec) gga()                $GPGGA,103050,1312.2101,N,08609.6419,E,0,00,,,M,,M,,*54
(Jun 28 2017 10:31:28,  846688 sec) gga()                $GPGGA,103100,1308.9278,N,08611.1969,E,1,10,0.8,3.6,M,-77.3,M,,*64
(Jun 28 2017 10:31:28,  846689 sec) GpsServices()        Profile 97 GPS fix obtained in 97 seconds.
(Jun 28 2017 10:31:29,  846689 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jun 28 2017 10:31:29,  846689 sec) GpsServices()        Fix:   86.187  13.149 06/28/2017 103100   10
(Jun 28 2017 10:31:58,  846718 sec) gga()                $GPGGA,103130,1308.9249,N,08611.1960,E,1,02,0.8,8.8,M,-77.3,M,,*6A
(Jun 28 2017 10:32:23,  846743 sec) gga()                $GPGGA,103140,1308.9227,N,08611.1951,E,1,10,0.8,4.9,M,-77.3,M,,*69
(Jun 28 2017 10:32:34,  846754 sec) GpsServices()        Apf9 RTC skew check aborted.
(Jun 28 2017 10:32:34,  846754 sec) LogNmeaSentences()   6B
(Jun 28 2017 10:32:34,  846754 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,17,19,20,24,25,,,1.1,0.8,0.8*3F
(Jun 28 2017 10:32:34,  846755 sec) LogNmeaSentences()   $GPGSV,3,1,10,02,45,344,47,05,72,190,50,06,20,034,44,12,55,317,50*74
(Jun 28 2017 10:32:35,  846755 sec) LogNmeaSentences()   $GPGSV,3,2,10,13,12,173,40,17,18,093,44,19,29,075,45,20,25,215,41*7A
(Jun 28 2017 10:32:35,  846755 sec) LogNmeaSentences()   $GPGSV,3,3,10,24,19,242,41,25,15,322,42*71
(Jun 28 2017 10:32:44,  846764 sec) LogNmeaSentences()   $GPRMC,103240,A,1308.9164,N,08611.1952,E,001.3,264.5,280617,001.4,W*69
(Jun 28 2017 10:32:44,  846764 sec) LogNmeaSentences()   $GPGGA,103240,1308.9164,N,08611.1952,E,1,05,1.1,9.5,M,-77.3,M,,*60
(Jun 28 2017 10:32:45,  846765 sec) LogNmeaSentences()   $GPGSA,A,3,05,06,13,24,25,,,,,,,,1.4,1.1,0.9*3E
