(Jun 18 2017 10:50:02,  847815 sec) LogNmeaSentences()   $GPRMC,105000,A,1315.6570,N,08611.3027,E,001.0,318.1,180617,001.4,W*6C
(Jun 18 2017 10:50:02,  847815 sec) LogNmeaSentences()   $GPGGA,105000,1315.6570,N,08611.3027,E,1,09,0.8,3.5,M,-77.2,M,,*64
(Jun 18 2017 10:50:03,  847816 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,,12,13,17,19,20,24,28,,,1.2,0.8,0.9*36
(Jun 18 2017 10:50:03,  847816 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,49,331,47,05,60,188,48,06,27,026,46,12,45,325,49*76
(Jun 18 2017 10:50:03,  847817 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,08,182,39,17,21,082,44,19,31,063,46,20,16,212,42*73
(Jun 18 2017 10:50:04,  847817 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,22,252,42,28,09,145,40,25,06,325,00*4E
(Jun 18 2017 10:50:04,  847817 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Jun 18 2017 10:50:04,  847817 sec) GpsServices()        GPS services complete.
(Jun 18 2017 10:50:29,  847842 sec) CLogin()             Connecting to primary host.
(Jun 18 2017 10:50:39,  847852 sec) CLogin()             Connection 1 established in 10 seconds.
(Jun 18 2017 10:51:09,  847882 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:51:09,  847882 sec) login()              Login prompt not received.
(Jun 18 2017 10:51:39,  847912 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:51:39,  847912 sec) login()              Login prompt not received.
(Jun 18 2017 10:51:39,  847912 sec) login()              No carrier detected.
(Jun 18 2017 10:51:39,  847912 sec) CLogin()             Attempt to login to host failed.
(Jun 18 2017 10:51:39,  847912 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Jun 18 2017 10:51:44,  847917 sec) CLogin()             Connecting to primary host.
(Jun 18 2017 10:51:53,  847926 sec) CLogin()             Connection 2 established in 9 seconds.
(Jun 18 2017 10:52:23,  847956 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:52:23,  847956 sec) login()              Login prompt not received.
(Jun 18 2017 10:52:53,  847986 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:52:53,  847986 sec) login()              Login prompt not received.
(Jun 18 2017 10:52:53,  847986 sec) login()              No carrier detected.
(Jun 18 2017 10:52:53,  847986 sec) CLogin()             Attempt to login to host failed.
(Jun 18 2017 10:52:53,  847986 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Jun 18 2017 10:52:53,  847986 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Jun 18 2017 10:52:53,  847986 sec) WriteVitals()        Writing vitals to "9567.096.msg".
(Jun 18 2017 10:52:56,  847989 sec) CLogin()             Connecting to primary host.
(Jun 18 2017 10:53:07,  848000 sec) CLogin()             Connection 3 established in 11 seconds.
(Jun 18 2017 10:53:37,  848030 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:53:37,  848030 sec) login()              Login prompt not received.
(Jun 18 2017 10:54:07,  848060 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:54:07,  848060 sec) login()              Login prompt not received.
(Jun 18 2017 10:54:07,  848060 sec) login()              No carrier detected.
(Jun 18 2017 10:54:07,  848060 sec) CLogin()             Attempt to login to host failed.
(Jun 18 2017 10:54:07,  848060 sec) CLogin()             Connecting to primary host.
(Jun 18 2017 10:54:26,  848079 sec) CLogin()             Connection 4 established in 19 seconds.
(Jun 18 2017 10:54:56,  848109 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:54:56,  848109 sec) login()              Login prompt not received.
(Jun 18 2017 10:55:26,  848139 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 10:55:26,  848139 sec) login()              Login prompt not received.
(Jun 18 2017 10:55:26,  848139 sec) login()              No carrier detected.
(Jun 18 2017 10:55:26,  848139 sec) CLogin()             Attempt to login to host failed.
(Jun 18 2017 10:55:26,  848139 sec) UpLoad()             Files successfully uploaded: 0
(Jun 18 2017 10:55:26,  848139 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Jun 18 2017 10:55:26,  848139 sec) logout()             No carrier detected.
(Jun 18 2017 10:55:26,  848139 sec) Telemetry()          Telemetry cycle complete: PrfId=96 ConnectionAttempts=4  Connections=4
(Jun 18 2017 11:10:41,  849054 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Jun 18 2017 11:11:09,  849082 sec) GpsServices()        GPS almanac is current.
(Jun 18 2017 11:11:09,  849082 sec) GpsServices()        Initiating GPS fix acquisition.
(Jun 18 2017 11:11:37,  849110 sec) gga()                $GPGGA,111110,1315.3933,N,08611.0491,E,1,08,0.9,-7.1,M,-77.2,M,,*48
(Jun 18 2017 11:11:37,  849110 sec) GpsServices()        Profile 96 GPS fix obtained in 28 seconds.
(Jun 18 2017 11:11:37,  849110 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jun 18 2017 11:11:37,  849110 sec) GpsServices()        Fix:   86.184  13.257 06/18/2017 111110    8
(Jun 18 2017 11:12:06,  849139 sec) gga()                $GPGGA,111140,1315.3821,N,08611.0463,E,1,08,0.9,2.6,M,-77.2,M,,*6D
(Jun 18 2017 11:12:12,  849145 sec) gga()                $GPGGA,111210,1315.3738,N,08611.0394,E,1,09,0.9,2.9,M,-77.2,M,,*6D
(Jun 18 2017 11:12:12,  849145 sec) GpsServices()        APF9 RTC skew (2s) OK.
(Jun 18 2017 11:12:13,  849146 sec) LogNmeaSentences()   174,44,17,18,093,47,19,29,075,44,20,25,215,42*79
(Jun 18 2017 11:12:13,  849146 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,19,242,39,25,15,323,38,28,01,147,00*4A
(Jun 18 2017 11:12:22,  849155 sec) LogNmeaSentences()   $GPRMC,111220,A,1315.3716,N,08611.0390,E,001.5,220.9,180617,001.4,W*65
(Jun 18 2017 11:12:22,  849155 sec) LogNmeaSentences()   $GPGGA,111220,1315.3716,N,08611.0390,E,1,09,0.9,3.4,M,-77.2,M,,*6A
(Jun 18 2017 11:12:23,  849156 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,,12,13,17,19,20,24,25,,,1.3,0.9,0.9*3B
(Jun 18 2017 11:12:23,  849156 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,45,344,43,05,72,189,50,06,20,034,43,12,55,317,51*7F
(Jun 18 2017 11:12:23,  849157 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,12,174,39,17,18,093,46,19,29,075,44,20,25,215,41*71
(Jun 18 2017 11:12:24,  849157 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,19,242,43,25,15,323,41,28,01,147,00*49
(Jun 18 2017 11:12:32,  849165 sec) LogNmeaSentences()   $GPRMC,111230,A,1315.3700,N,08611.0352,E,001.0,159.1,180617,001.4,W*6D
(Jun 18 2017 11:12:32,  849165 sec) LogNmeaSentences()   $GPGGA,111230,1315.3700,N,08611.0352,E,1,09,0.9,2.0,M,-77.2,M,,*67
(Jun 18 2017 11:12:33,  849166 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,,12,13,17,19,20,24,25,,,1.3,0.9,0.9*3B
(Jun 18 2017 11:12:33,  849166 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,45,344,47,05,72,189,50,06,20,034,45,12,55,317,48*75
(Jun 18 2017 11:12:33,  849167 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,12,174,41,17,18,093,45,19,29,075,43,20,25,215,43*78
(Jun 18 2017 11:12:34,  849167 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,19,242,44,25,15,323,41,28,01,147,00*4E
(Jun 18 2017 11:12:42,  849175 sec) LogNmeaSentences()   $GPRMC,111240,A,1315.3673,N,08611.0334,E,002.4,211.4,180617,001.4,W*62
(Jun 18 2017 11:12:42,  849175 sec) LogNmeaSentences()   $GPGGA,111240,1315.3673,N,08611.0334,E,1,01,1.1,3.2,M,-77.2,M,,*67
(Jun 18 2017 11:12:43,  849176 sec) LogNmeaSentences()   $GPGSA,A,3,19,,,,,,,,,,,,1.4,1.1,0.9*36
(Jun 18 2017 11:12:43,  849176 sec) LogNmeaSentences()   $GPGSV,3,1,11,19,29,075,46,02,45,344,00,05,71,189,00,06,21,033,00*7E
(Jun 18 2017 11:12:43,  849176 sec) LogNmeaSentences()   $GPGSV,3,2,11,12,55,317,00,13,12,173,00,17,18,093,00,20,24,215,00*7D
(Jun 18 2017 11:12:44,  849177 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,19,243,00,25,14,323,00,28,01,147,00*4B
(Jun 18 2017 11:12:52,  849185 sec) LogNmeaSentences()   $GPRMC,111250,A,1315.3658,N,08611.0310,E,000.9,226.9,180617,001.4,W*6A
(Jun 18 2017 11:12:52,  849185 sec) LogNmeaSentences()   $GPGGA,111250,1315.3658,N,08611.0310,E,1,09,1.0,2.7,M,-77.2,M,,*64
(Jun 18 2017 11:12:53,  849186 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,,12,13,17,19,20,24,25,,,1.3,1.0,0.9*33
(Jun 18 2017 11:12:53,  849186 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,45,344,47,05,72,189,49,06,20,034,44,12,55,317,50*75
(Jun 18 2017 11:12:53,  849187 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,12,174,40,17,18,093,45,19,29,075,44,20,25,215,41*7C
(Jun 18 2017 11:12:54,  849187 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,19,242,43,25,15,323,43,28,01,147,00*4B
(Jun 18 2017 11:13:02,  849195 sec) LogNmeaSentences()   $GPRMC,111300,A,1315.3636,N,08611.0280,E,001.3,279.8,180617,001.4,W*6E
(Jun 18 2017 11:13:02,  849195 sec) LogNmeaSentences()   $GPGGA,111300,1315.3636,N,08611.0280,E,1,08,1.0,1.9,M,-77.2,M,,*6C
(Jun 18 2017 11:13:03,  849196 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,,12,13,17,20,24,25,,,,1.4,1.0,0.9*3C
(Jun 18 2017 11:13:03,  849196 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,45,344,48,05,72,189,50,06,20,034,44,12,55,317,51*73
(Jun 18 2017 11:13:03,  849197 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,12,173,42,17,18,093,44,20,25,215,41,24,19,242,43*74
(Jun 18 2017 11:13:04,  849197 sec) LogNmeaSentences()   $GPGSV,3,3,11,25,15,323,43,19,29,074,00,28,01,147,00*46
(Jun 18 2017 11:13:04,  849197 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Jun 18 2017 11:13:04,  849197 sec) GpsServices()        GPS services complete.
(Jun 18 2017 11:13:29,  849222 sec) CLogin()             Connecting to primary host.
(Jun 18 2017 11:13:38,  849231 sec) CLogin()             Connection 5 established in 9 seconds.
(Jun 18 2017 11:14:08,  849261 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 11:14:08,  849261 sec) login()              Login prompt not received.
(Jun 18 2017 11:14:38,  849291 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 11:14:38,  849291 sec) login()              Login prompt not received.
(Jun 18 2017 11:14:38,  849291 sec) login()              No carrier detected.
(Jun 18 2017 11:14:38,  849291 sec) CLogin()             Attempt to login to host failed.
(Jun 18 2017 11:14:38,  849291 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Jun 18 2017 11:14:43,  849296 sec) CLogin()             Connecting to primary host.
(Jun 18 2017 11:15:01,  849314 sec) CLogin()             Connection 6 established in 18 seconds.
(Jun 18 2017 11:15:31,  849344 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 18 2017 11:15:31,  849344 sec) login()              Login prompt not received.
