(Aug 15 2018 08:59:36,  847403 sec) CLogin()             Connection 1 established in 10 seconds.
(Aug 15 2018 09:00:06,  847433 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 15 2018 09:00:06,  847433 sec) login()              Login prompt not received.
(Aug 15 2018 09:00:36,  847462 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 15 2018 09:00:36,  847463 sec) login()              Login prompt not received.
(Aug 15 2018 09:00:36,  847463 sec) login()              No carrier detected.
(Aug 15 2018 09:00:36,  847463 sec) CLogin()             Attempt to login to host failed.
(Aug 15 2018 09:00:36,  847463 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Aug 15 2018 09:00:41,  847468 sec) CLogin()             Connecting to primary host.
(Aug 15 2018 09:00:59,  847486 sec) CLogin()             Connection 2 established in 18 seconds.
(Aug 15 2018 09:01:29,  847516 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 15 2018 09:01:29,  847516 sec) login()              Login prompt not received.
(Aug 15 2018 09:01:59,  847546 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 15 2018 09:01:59,  847546 sec) login()              Login prompt not received.
(Aug 15 2018 09:01:59,  847546 sec) login()              No carrier detected.
(Aug 15 2018 09:01:59,  847546 sec) CLogin()             Attempt to login to host failed.
(Aug 15 2018 09:01:59,  847546 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Aug 15 2018 09:01:59,  847546 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Aug 15 2018 09:01:59,  847546 sec) WriteVitals()        Writing vitals to "9567.139.msg".
(Aug 15 2018 09:02:02,  847549 sec) CLogin()             Connecting to primary host.
(Aug 15 2018 09:02:24,  847571 sec) CLogin()             Connection 3 established in 22 seconds.
(Aug 15 2018 09:02:54,  847600 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 15 2018 09:02:54,  847601 sec) login()              Login prompt not received.
(Aug 15 2018 09:03:24,  847630 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 15 2018 09:03:24,  847631 sec) login()              Login prompt not received.
(Aug 15 2018 09:03:24,  847631 sec) login()              No carrier detected.
(Aug 15 2018 09:03:24,  847631 sec) CLogin()             Attempt to login to host failed.
