(May 26 2011 02:58:46,    9229 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [127cnt, 6.8"Hg].
(May 26 2011 02:59:18,    9261 sec) GpsServices()        GPS almanac is current.
(May 26 2011 02:59:18,    9261 sec) GpsServices()        Initiating GPS fix acquisition.
(May 26 2011 02:59:34,    9277 sec) gga()                $GPGGA,025929,0215.6947,S,08119.1495,E,0,00,,,M,,M,,*47
(May 26 2011 03:00:03,    9305 sec) gga()                $GPGGA,025940,0218.5581,S,08118.9076,E,1,08,0.9,4.7,M,-91.5,M,,*7D
(May 26 2011 03:00:03,    9306 sec) GpsServices()        Profile 0 GPS fix obtained in 45 seconds.
(May 26 2011 03:00:03,    9306 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(May 26 2011 03:00:03,    9306 sec) GpsServices()        Fix:   81.315  -2.309 05/26/2011 025940    8
(May 26 2011 03:00:33,    9335 sec) gga()                $GPGGA,030010,0218.6292,S,08118.9034,E,1,08,1.0,5.2,M,-91.5,M,,*79
(May 26 2011 03:00:39,    9341 sec) gga()                $GPGGA,030040,0218.7004,S,08118.8978,E,1,10,0.8,4.6,M,-91.5,M,,*75
(May 26 2011 03:00:39,    9341 sec) GpsServices()        APF9 RTC skew (-1s) OK.
(May 26 2011 03:00:39,    9342 sec) LogNmeaSentences()   .3,M,11.5,M*1F
(May 26 2011 03:00:39,    9342 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 03:00:39,    9342 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 03:00:48,    9351 sec) LogNmeaSentences()   $GPRMC,030050,A,0218.7242,S,08118.8956,E,008.4,186.7,260511,004.6,W*72
(May 26 2011 03:00:49,    9352 sec) LogNmeaSentences()   $GPGGA,030050,0218.7242,S,08118.8956,E,1,10,0.8,5.9,M,-91.5,M,,*76
(May 26 2011 03:00:49,    9352 sec) LogNmeaSentences()   $GPGSA,A,3,03,06,14,16,18,19,21,22,25,,31,,1.7,0.8,1.5*38
(May 26 2011 03:00:50,    9352 sec) LogNmeaSentences()   $GPGSV,3,3,11,25,23,096,38,29,00,138,00,31,74,218,49*4D
(May 26 2011 03:00:50,    9352 sec) LogNmeaSentences()   $PGRME,6.8,M,9.3,M,11.5,M*1F
(May 26 2011 03:00:50,    9353 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 03:00:50,    9353 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 03:00:58,    9361 sec) LogNmeaSentences()   $GPRMC,030100,A,0218.7479,S,08118.8941,E,008.5,183.4,260511,004.6,W*79
(May 26 2011 03:00:59,    9362 sec) LogNmeaSentences()   $GPGGA,030100,0218.7479,S,08118.8941,E,1,10,0.9,4.6,M,-91.5,M,,*75
(May 26 2011 03:00:59,    9362 sec) LogNmeaSentences()   $GPGSA,A,3,03,06,14,16,18,19,21,22,25,,31,,1.8,0.9,1.6*35
(May 26 2011 03:01:00,    9362 sec) LogNmeaSentences()   $GPGSV,3,1,11,03,21,254,44,06,28,245,45,14,27,352,45,16,08,214,39*71
(May 26 2011 03:01:00,    9363 sec) LogNmeaSentences()   $PGRME,6.8,M,9.4,M,11.6,M*1B
(May 26 2011 03:01:00,    9363 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 03:01:00,    9363 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 03:01:08,    9371 sec) LogNmeaSentences()   $GPRMC,030110,A,0218.7716,S,08118.8926,E,008.6,183.0,260511,004.6,W*74
(May 26 2011 03:01:09,    9372 sec) LogNmeaSentences()   $GPGGA,030110,0218.7716,S,08118.8926,E,1,10,0.8,4.4,M,-91.5,M,,*7C
(May 26 2011 03:01:09,    9372 sec) LogNmeaSentences()   $GPGSA,A,3,03,06,14,16,18,19,21,22,25,,31,,1.7,0.8,1.5*38
(May 26 2011 03:01:10,    9372 sec) LogNmeaSentences()   $GPGSV,3,2,11,18,29,056,45,19,11,285,43,21,46,141,48,22,30,017,46*76
(May 26 2011 03:01:10,    9373 sec) LogNmeaSentences()   $PGRME,6.8,M,9.3,M,11.6,M*1C
(May 26 2011 03:01:10,    9373 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 03:01:10,    9373 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 03:01:18,    9381 sec) LogNmeaSentences()   $GPRMC,030120,A,0218.7954,S,08118.8907,E,008.7,183.5,260511,004.6,W*78
(May 26 2011 03:01:19,    9382 sec) LogNmeaSentences()   $GPGGA,030120,0218.7954,S,08118.8907,E,1,10,0.8,4.8,M,-91.5,M,,*78
(May 26 2011 03:01:19,    9382 sec) LogNmeaSentences()   $GPGSA,A,3,03,06,14,16,18,19,21,22,25,,31,,1.7,0.8,1.5*38
(May 26 2011 03:01:20,    9382 sec) LogNmeaSentences()   $GPGSV,3,3,11,25,23,095,40,29,00,138,00,31,75,220,49*4B
(May 26 2011 03:01:20,    9382 sec) LogNmeaSentences()   $PGRME,6.8,M,9.3,M,11.5,M*1F
(May 26 2011 03:01:20,    9383 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 03:01:20,    9383 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 03:01:28,    9391 sec) LogNmeaSentences()   $GPRMC,030130,A,0218.8194,S,08118.8891,E,008.8,185.4,260511,004.6,W*74
