(Apr 09 2018 09:19:58,  847247 sec) CLogin()             Connection 2 established in 10 seconds.
(Apr 09 2018 09:20:28,  847277 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:20:28,  847277 sec) login()              Login prompt not received.
(Apr 09 2018 09:20:58,  847307 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:20:58,  847307 sec) login()              Login prompt not received.
(Apr 09 2018 09:20:58,  847307 sec) login()              No carrier detected.
(Apr 09 2018 09:20:58,  847307 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 09:20:58,  847307 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Apr 09 2018 09:20:58,  847307 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Apr 09 2018 09:20:58,  847307 sec) WriteVitals()        Writing vitals to "9567.126.msg".
(Apr 09 2018 09:21:01,  847310 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 09:21:15,  847324 sec) CLogin()             Connection 3 established in 14 seconds.
(Apr 09 2018 09:21:45,  847354 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:21:45,  847354 sec) login()              Login prompt not received.
(Apr 09 2018 09:22:15,  847384 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:22:15,  847384 sec) login()              Login prompt not received.
(Apr 09 2018 09:22:15,  847384 sec) login()              No carrier detected.
(Apr 09 2018 09:22:15,  847384 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 09:22:15,  847384 sec) CLogin()             Connecting to primary host.
(Apr 09 2018 09:22:25,  847394 sec) CLogin()             Connection 4 established in 10 seconds.
(Apr 09 2018 09:22:55,  847424 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:22:55,  847424 sec) login()              Login prompt not received.
(Apr 09 2018 09:23:25,  847454 sec) expect()             Attempt to read prompt string [login:] failed.
(Apr 09 2018 09:23:25,  847454 sec) login()              Login prompt not received.
(Apr 09 2018 09:23:25,  847454 sec) login()              No carrier detected.
(Apr 09 2018 09:23:25,  847454 sec) CLogin()             Attempt to login to host failed.
(Apr 09 2018 09:23:25,  847454 sec) UpLoad()             Files successfully uploaded: 0
(Apr 09 2018 09:23:25,  847454 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Apr 09 2018 09:23:25,  847454 sec) logout()             No carrier detected.
(Apr 09 2018 09:23:25,  847454 sec) Telemetry()          Telemetry cycle complete: PrfId=126 ConnectionAttempts=4  Connections=4
(Apr 09 2018 09:38:40,  848369 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [127cnt, 6.8"Hg].
(Apr 09 2018 09:39:16,  848405 sec) GpsServices()        GPS almanac is current.
(Apr 09 2018 09:39:16,  848405 sec) GpsServices()        Initiating GPS fix acquisition.
(Apr 09 2018 09:39:44,  848433 sec) gga()                $GPGGA,093850,1351.1851,N,08437.5458,E,1,11,0.8,4.7,M,-80.1,M,,*65
(Apr 09 2018 09:39:44,  848433 sec) GpsServices()        Profile 126 GPS fix obtained in 28 seconds.
(Apr 09 2018 09:39:44,  848433 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Apr 09 2018 09:39:44,  848433 sec) GpsServices()        Fix:   84.626  13.853 04/09/2018 093850   11
(Apr 09 2018 09:40:14,  848463 sec) gga()                $GPGGA,093920,1351.1783,N,08437.5559,E,1,11,0.8,-5.0,M,-80.1,M,,*48
(Apr 09 2018 09:40:19,  848468 sec) gga()                $GPGGA,093950,1351.1716,N,08437.5642,E,1,11,0.8,-7.9,M,-80.1,M,,*41
(Apr 09 2018 09:40:19,  848468 sec) GpsServices()        APF9 RTC skew (29s) OK.
(Apr 09 2018 09:40:20,  848469 sec) LogNmeaSentences()   ,39,046,44,13,14,307,43,17,51,263,51,18,22,051,40*7F
(Apr 09 2018 09:40:20,  848469 sec) LogNmeaSentences()   $GPGSV,3,3,12,19,34,242,45,28,35,347,44,30,71,006,50,03,04,121,00*7F
(Apr 09 2018 09:40:29,  848478 sec) LogNmeaSentences()   $GPRMC,094000,A,1351.1689,N,08437.5676,E,001.6,123.8,090418,001.4,W*6D
(Apr 09 2018 09:40:30,  848479 sec) LogNmeaSentences()   $GPGGA,094000,1351.1689,N,08437.5676,E,1,11,0.8,-7.6,M,-80.1,M,,*45
(Apr 09 2018 09:40:30,  848479 sec) LogNmeaSentences()   $GPGSA,A,3,01,,06,07,09,11,13,17,18,19,28,30,1.1,0.8,0.8*37
(Apr 09 2018 09:40:30,  848479 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,41,069,47,03,04,121,35,06,14,198,41,07,69,104,49*75
(Apr 09 2018 09:40:31,  848480 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,22,181,41,11,39,046,45,13,14,307,42,17,51,263,50*73
(Apr 09 2018 09:40:31,  848480 sec) LogNmeaSentences()   $GPGSV,3,3,12,18,22,051,42,19,34,242,44,28,35,347,44,30,71,006,50*70
(Apr 09 2018 09:40:31,  848480 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Apr 09 2018 09:40:39,  848488 sec) LogNmeaSentences()   $GPRMC,094010,A,1351.1665,N,08437.5704,E,000.6,138.3,090418,001.4,W*6A
(Apr 09 2018 09:40:40,  848489 sec) LogNmeaSentences()   $GPGGA,094010,1351.1665,N,08437.5704,E,1,11,0.8,-8.6,M,-80.1,M,,*4D
(Apr 09 2018 09:40:40,  848489 sec) LogNmeaSentences()   $GPGSA,A,3,01,,06,07,09,11,13,17,18,19,28,30,1.1,0.8,0.8*37
(Apr 09 2018 09:40:40,  848489 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,41,069,45,03,04,121,35,06,14,198,41,07,69,104,47*79
(Apr 09 2018 09:40:41,  848490 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,22,181,40,11,38,045,44,13,14,307,42,17,52,263,50*72
(Apr 09 2018 09:40:41,  848490 sec) LogNmeaSentences()   $GPGSV,3,3,12,18,22,051,39,19,34,242,45,28,35,347,45,30,71,006,50*7C
(Apr 09 2018 09:40:49,  848498 sec) LogNmeaSentences()   $GPRMC,094020,A,1351.1642,N,08437.5737,E,001.2,152.7,090418,001.4,W*61
(Apr 09 2018 09:40:50,  848499 sec) LogNmeaSentences()   $GPGGA,094020,1351.1642,N,08437.5737,E,1,11,0.8,-8.7,M,-80.1,M,,*4A
(Apr 09 2018 09:40:50,  848499 sec) LogNmeaSentences()   $GPGSA,A,3,01,,06,07,09,11,13,17,18,19,28,30,1.1,0.8,0.8*37
(Apr 09 2018 09:40:50,  848499 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,41,069,47,03,04,121,25,06,14,198,39,07,69,104,48*7A
