(Feb 05 2015 15:14:58,  846217 sec) login()              Login prompt not received.
(Feb 05 2015 15:15:28,  846246 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:15:28,  846247 sec) login()              Login prompt not received.
(Feb 05 2015 15:15:28,  846247 sec) login()              No carrier detected.
(Feb 05 2015 15:15:28,  846247 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 15:15:28,  846247 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Feb 05 2015 15:15:28,  846247 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Feb 05 2015 15:15:28,  846247 sec) WriteVitals()        Writing vitals to "9567.008.msg".
(Feb 05 2015 15:15:31,  846250 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 15:15:42,  846261 sec) CLogin()             Connection 3 established in 11 seconds.
(Feb 05 2015 15:16:12,  846290 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:16:12,  846291 sec) login()              Login prompt not received.
(Feb 05 2015 15:16:42,  846320 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:16:42,  846321 sec) login()              Login prompt not received.
(Feb 05 2015 15:16:42,  846321 sec) login()              No carrier detected.
(Feb 05 2015 15:16:42,  846321 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 15:16:42,  846321 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 15:17:02,  846341 sec) CLogin()             Connection 4 established in 20 seconds.
(Feb 05 2015 15:17:32,  846370 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:17:32,  846371 sec) login()              Login prompt not received.
(Feb 05 2015 15:18:02,  846400 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:18:02,  846401 sec) login()              Login prompt not received.
(Feb 05 2015 15:18:02,  846401 sec) login()              No carrier detected.
(Feb 05 2015 15:18:02,  846401 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 15:18:02,  846401 sec) UpLoad()             Files successfully uploaded: 0
(Feb 05 2015 15:18:02,  846401 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Feb 05 2015 15:18:02,  846401 sec) logout()             No carrier detected.
(Feb 05 2015 15:18:02,  846401 sec) Telemetry()          Telemetry cycle complete: PrfId=8 ConnectionAttempts=4  Connections=4
(Feb 05 2015 15:33:17,  847316 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Feb 05 2015 15:33:45,  847344 sec) GpsServices()        GPS almanac is current.
(Feb 05 2015 15:33:45,  847344 sec) GpsServices()        Initiating GPS fix acquisition.
(Feb 05 2015 15:34:18,  847377 sec) gga()                $GPGGA,153340,0915.8039,N,08552.2725,E,1,10,0.8,0.3,M,-82.1,M,,*69
(Feb 05 2015 15:34:18,  847377 sec) GpsServices()        Profile 8 GPS fix obtained in 33 seconds.
(Feb 05 2015 15:34:18,  847377 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Feb 05 2015 15:34:18,  847377 sec) GpsServices()        Fix:   85.871   9.263 02/05/2015 153340   10
(Feb 05 2015 15:34:48,  847407 sec) gga()                $GPGGA,153410,0915.8000,N,08552.2677,E,1,10,0.8,5.2,M,-82.1,M,,*63
(Feb 05 2015 15:34:54,  847412 sec) gga()                $GPGGA,153440,0915.7987,N,08552.2676,E,1,10,0.8,0.9,M,-82.1,M,,*60
(Feb 05 2015 15:34:54,  847413 sec) GpsServices()        APF9 RTC skew (14s) OK.
(Feb 05 2015 15:34:54,  847413 sec) LogNmeaSentences()   ,242,40,11,52,084,46,17,36,227,48,19,17,033,42*7B
(Feb 05 2015 15:34:54,  847413 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,34,169,43,28,26,307,43,30,34,344,46,20,11,159,00*72
(Feb 05 2015 15:35:03,  847422 sec) LogNmeaSentences()   $GPRMC,153450,A,0915.7977,N,08552.2633,E,000.0,315.3,050215,001.8,W*61
(Feb 05 2015 15:35:04,  847423 sec) LogNmeaSentences()   $GPGGA,153450,0915.7977,N,08552.2633,E,1,04,4.4,,M,-82.1,M,,*45
(Feb 05 2015 15:35:04,  847423 sec) LogNmeaSentences()   $GPGSA,A,2,,07,11,19,23,,,,,,,,4.5,4.4,*12
(Feb 05 2015 15:35:04,  847423 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,41,118,27,07,53,020,26,11,52,083,46,19,17,033,30*75
(Feb 05 2015 15:35:05,  847424 sec) LogNmeaSentences()   $GPGSV,3,2,12,23,34,169,26,28,26,307,20,04,31,083,00,09,57,205,00*7E
(Feb 05 2015 15:35:05,  847424 sec) LogNmeaSentences()   $GPGSV,3,3,12,10,08,242,00,17,36,227,00,20,11,159,00,30,34,345,00*7A
(Feb 05 2015 15:35:13,  847432 sec) LogNmeaSentences()   $GPRMC,153500,A,0915.7961,N,08552.2606,E,000.7,006.9,050215,001.8,W*68
(Feb 05 2015 15:35:14,  847433 sec) LogNmeaSentences()   $GPGGA,153500,0915.7961,N,08552.2606,E,1,10,0.8,0.4,M,-82.1,M,,*67
(Feb 05 2015 15:35:14,  847433 sec) LogNmeaSentences()   $GPGSA,A,3,01,04,07,09,10,11,17,19,,28,30,,1.2,0.8,0.8*3C
(Feb 05 2015 15:35:15,  847434 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,41,118,45,04,31,083,43,07,53,020,46,09,57,204,47*70
(Feb 05 2015 15:35:15,  847434 sec) LogNmeaSentences()   $GPGSV,3,2,12,10,08,242,40,11,52,083,45,17,36,227,46,19,17,033,38*7C
(Feb 05 2015 15:35:15,  847434 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,34,169,47,28,26,307,44,30,34,344,45,20,11,159,00*72
(Feb 05 2015 15:35:16,  847435 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Feb 05 2015 15:35:23,  847442 sec) LogNmeaSentences()   $GPRMC,153510,A,0915.7951,N,08552.2593,E,001.0,236.6,050215,001.8,W*6D
(Feb 05 2015 15:35:24,  847443 sec) LogNmeaSentences()   $GPGGA,153510,0915.7951,N,08552.2593,E,1,10,0.8,1.7,M,-82.1,M,,*68
(Feb 05 2015 15:35:24,  847443 sec) LogNmeaSentences()   $GPGSA,A,3,01,04,07,09,10,11,17,19,,28,30,,1.2,0.8,0.8*3C
(Feb 05 2015 15:35:25,  847443 sec) GpsServices()        GPS services complete.
(Feb 05 2015 15:35:49,  847468 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 15:36:11,  847490 sec) CLogin()             Connection 5 established in 22 seconds.
(Feb 05 2015 15:36:41,  847519 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:36:41,  847520 sec) login()              Login prompt not received.
(Feb 05 2015 15:37:11,  847549 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:37:11,  847550 sec) login()              Login prompt not received.
(Feb 05 2015 15:37:11,  847550 sec) login()              No carrier detected.
(Feb 05 2015 15:37:11,  847550 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 15:37:11,  847550 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Feb 05 2015 15:37:16,  847555 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 15:37:27,  847566 sec) CLogin()             Connection 6 established in 11 seconds.
(Feb 05 2015 15:37:57,  847595 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:37:57,  847596 sec) login()              Login prompt not received.
(Feb 05 2015 15:38:27,  847625 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:38:27,  847626 sec) login()              Login prompt not received.
(Feb 05 2015 15:38:27,  847626 sec) login()              No carrier detected.
(Feb 05 2015 15:38:27,  847626 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 15:38:27,  847626 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Feb 05 2015 15:38:27,  847626 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Feb 05 2015 15:38:27,  847626 sec) WriteVitals()        Writing vitals to "9567.008.msg".
(Feb 05 2015 15:38:30,  847629 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 15:38:53,  847652 sec) CLogin()             Connection 7 established in 23 seconds.
(Feb 05 2015 15:39:23,  847681 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:39:23,  847682 sec) login()              Login prompt not received.
(Feb 05 2015 15:39:53,  847711 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:39:53,  847712 sec) login()              Login prompt not received.
(Feb 05 2015 15:39:53,  847712 sec) login()              No carrier detected.
(Feb 05 2015 15:39:53,  847712 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 15:39:53,  847712 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 15:40:55,  847773 sec) chat()               Expected string [CONNECT] not received.
(Feb 05 2015 15:40:55,  847774 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Feb 05 2015 15:41:07,  847786 sec) CLogin()             Connection 8 established in 74 seconds.
(Feb 05 2015 15:41:37,  847815 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:41:37,  847816 sec) login()              Login prompt not received.
(Feb 05 2015 15:42:07,  847845 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 15:42:07,  847846 sec) login()              Login prompt not received.
(Feb 05 2015 15:42:07,  847846 sec) login()              No carrier detected.
(Feb 05 2015 15:42:07,  847846 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 15:42:07,  847846 sec) UpLoad()             Files successfully uploaded: 0
(Feb 05 2015 15:42:07,  847846 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Feb 05 2015 15:42:07,  847846 sec) logout()             No carrier detected.
(Feb 05 2015 15:42:07,  847846 sec) Telemetry()          Telemetry cycle complete: PrfId=8 ConnectionAttempts=9  Connections=8
(Feb 05 2015 15:57:22,  848761 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Feb 05 2015 15:57:58,  848797 sec) GpsServices()        GPS almanac is current.
(Feb 05 2015 15:57:58,  848797 sec) GpsServices()        Initiating GPS fix acquisition.
(Feb 05 2015 15:58:28,  848827 sec) gga()                $GPGGA,155750,0915.6932,N,08552.0372,E,1,10,0.9,8.9,M,-82.1,M,,*61
(Feb 05 2015 15:58:28,  848827 sec) GpsServices()        Profile 8 GPS fix obtained in 30 seconds.
(Feb 05 2015 15:58:28,  848827 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Feb 05 2015 15:58:28,  848827 sec) GpsServices()        Fix:   85.867   9.262 02/05/2015 155750   10
(Feb 05 2015 15:58:58,  848857 sec) gga()                $GPGGA,155820,0915.6950,N,08552.0333,E,1,10,0.9,7.0,M,-82.1,M,,*6E
(Feb 05 2015 15:59:04,  848862 sec) gga()                $GPGGA,155850,0915.6899,N,08552.0269,E,1,10,0.9,8.2,M,-82.1,M,,*6E
(Feb 05 2015 15:59:04,  848863 sec) GpsServices()        APF9 RTC skew (14s) OK.
(Feb 05 2015 15:59:04,  848863 sec) LogNmeaSentences()   ,195,46,10,07,232,40,11,48,066,47,17,44,238,47*7C
(Feb 05 2015 15:59:04,  848863 sec) LogNmeaSentences()   $GPGSV,3,3,12,19,08,034,34,23,23,166,43,28,26,319,43,30,43,351,45*7C
(Feb 05 2015 15:59:13,  848872 sec) LogNmeaSentences()   $GPRMC,155900,A,0915.6892,N,08552.0250,E,001.6,275.5,050215,001.8,W*61
(Feb 05 2015 15:59:14,  848873 sec) LogNmeaSentences()   $GPGGA,155900,0915.6892,N,08552.0250,E,1,09,0.9,7.7,M,-82.1,M,,*69
(Feb 05 2015 15:59:14,  848873 sec) LogNmeaSentences()   $GPGSA,A,3,01,04,,07,09,10,11,17,,28,30,,1.3,0.9,0.9*35
