(Nov 28 2014 04:53:17,    7524 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [128cnt, 7.1"Hg].
(Nov 28 2014 04:53:49,    7555 sec) GpsServices()        GPS almanac is current.
(Nov 28 2014 04:53:49,    7555 sec) GpsServices()        Initiating GPS fix acquisition.
(Nov 28 2014 04:54:25,    7592 sec) gga()                $GPGGA,045400,0858.0759,N,08548.1113,E,1,10,0.8,-0.9,M,-82.4,M,,*44
(Nov 28 2014 04:54:26,    7592 sec) GpsServices()        Profile 0 GPS fix obtained in 36 seconds.
(Nov 28 2014 04:54:26,    7592 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Nov 28 2014 04:54:26,    7592 sec) GpsServices()        Fix:   85.802   8.968 11/28/2014 045400   10
(Nov 28 2014 04:54:55,    7621 sec) gga()                $GPGGA,045430,0858.0787,N,08548.1160,E,1,10,0.8,-0.0,M,-82.4,M,,*49
(Nov 28 2014 04:55:00,    7627 sec) gga()                $GPGGA,045500,0858.0817,N,08548.1207,E,1,10,0.8,-0.3,M,-82.4,M,,*4C
(Nov 28 2014 04:55:00,    7627 sec) GpsServices()        APF9 RTC skew (0s) OK.
(Nov 28 2014 04:55:01,    7627 sec) LogNmeaSentences()   1,15,40,176,47,18,13,232,42,21,02,285,30,24,12,196,42*75
(Nov 28 2014 04:55:01,    7627 sec) LogNmeaSentences()   $GPGSV,3,3,11,25,43,279,46,26,45,119,48,29,23,334,44*49
(Nov 28 2014 04:55:01,    7628 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Nov 28 2014 04:55:10,    7636 sec) LogNmeaSentences()   $GPRMC,045510,A,0858.0824,N,08548.1222,E,000.9,064.3,281114,001.8,W*66
(Nov 28 2014 04:55:11,    7637 sec) LogNmeaSentences()   $GPGGA,045510,0858.0824,N,08548.1222,E,1,10,0.8,-0.4,M,-82.4,M,,*4D
(Nov 28 2014 04:55:11,    7637 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,12,13,15,18,,24,25,26,29,,1.2,0.8,0.8*34
(Nov 28 2014 04:55:11,    7638 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,23,044,44,05,43,017,47,12,53,217,48,13,22,066,45*71
(Nov 28 2014 04:55:12,    7638 sec) LogNmeaSentences()   $GPGSV,3,2,11,15,40,176,47,18,13,232,43,21,02,285,23,24,12,196,42*76
