(Jun 08 2017 10:36:52,  847218 sec) LogNmeaSentences()   $GPGSV,3,2,09,13,05,202,41,17,25,056,47,19,33,034,47,24,25,279,44*73
(Jun 08 2017 10:36:52,  847219 sec) LogNmeaSentences()   $GPGSV,3,3,09,28,30,131,44*4A
(Jun 08 2017 10:37:00,  847227 sec) LogNmeaSentences()   $GPRMC,103700,A,1322.8053,N,08611.5258,E,000.0,195.2,080617,001.4,W*6B
(Jun 08 2017 10:37:01,  847227 sec) LogNmeaSentences()   $GPGGA,103700,1322.8053,N,08611.5258,E,1,09,0.8,-3.0,M,-77.0,M,,*4D
(Jun 08 2017 10:37:01,  847228 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,17,19,24,28,,,,1.2,0.8,0.9*32
(Jun 08 2017 10:37:01,  847228 sec) LogNmeaSentences()   $GPGSV,3,1,09,02,55,292,45,05,34,190,47,06,45,009,49,12,23,329,43*7F
(Jun 08 2017 10:37:02,  847228 sec) LogNmeaSentences()   $GPGSV,3,2,09,13,05,202,32,17,25,056,45,19,33,034,44,24,25,279,44*76
(Jun 08 2017 10:37:02,  847229 sec) LogNmeaSentences()   $GPGSV,3,3,09,28,30,131,45*4B
(Jun 08 2017 10:37:02,  847229 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Jun 08 2017 10:37:02,  847229 sec) GpsServices()        GPS services complete.
(Jun 08 2017 10:37:35,  847262 sec) CLogin()             Connecting to primary host.
(Jun 08 2017 10:37:57,  847284 sec) CLogin()             Connection 1 established in 22 seconds.
(Jun 08 2017 10:38:27,  847313 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:38:27,  847313 sec) login()              Login prompt not received.
(Jun 08 2017 10:38:57,  847343 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:38:57,  847343 sec) login()              Login prompt not received.
(Jun 08 2017 10:38:57,  847343 sec) login()              No carrier detected.
(Jun 08 2017 10:38:57,  847343 sec) CLogin()             Attempt to login to host failed.
(Jun 08 2017 10:38:57,  847344 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Jun 08 2017 10:39:02,  847349 sec) CLogin()             Connecting to primary host.
(Jun 08 2017 10:39:22,  847369 sec) CLogin()             Connection 2 established in 20 seconds.
(Jun 08 2017 10:39:52,  847398 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:39:52,  847398 sec) login()              Login prompt not received.
(Jun 08 2017 10:40:22,  847428 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:40:22,  847428 sec) login()              Login prompt not received.
(Jun 08 2017 10:40:22,  847428 sec) login()              No carrier detected.
(Jun 08 2017 10:40:22,  847428 sec) CLogin()             Attempt to login to host failed.
(Jun 08 2017 10:40:22,  847429 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Jun 08 2017 10:40:22,  847429 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Jun 08 2017 10:40:22,  847429 sec) WriteVitals()        Writing vitals to "9567.095.msg".
(Jun 08 2017 10:40:25,  847432 sec) CLogin()             Connecting to primary host.
(Jun 08 2017 10:40:49,  847455 sec) CLogin()             Connection 3 established in 24 seconds.
(Jun 08 2017 10:41:19,  847485 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:41:19,  847485 sec) login()              Login prompt not received.
(Jun 08 2017 10:41:49,  847515 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:41:49,  847515 sec) login()              Login prompt not received.
(Jun 08 2017 10:41:49,  847515 sec) login()              No carrier detected.
(Jun 08 2017 10:41:49,  847515 sec) CLogin()             Attempt to login to host failed.
(Jun 08 2017 10:41:49,  847516 sec) CLogin()             Connecting to primary host.
(Jun 08 2017 10:42:05,  847532 sec) CLogin()             Connection 4 established in 16 seconds.
(Jun 08 2017 10:42:35,  847561 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:42:35,  847561 sec) login()              Login prompt not received.
(Jun 08 2017 10:43:05,  847591 sec) expect()             Attempt to read prompt string [login:] failed.
(Jun 08 2017 10:43:05,  847591 sec) login()              Login prompt not received.
(Jun 08 2017 10:43:05,  847591 sec) login()              No carrier detected.
(Jun 08 2017 10:43:05,  847591 sec) CLogin()             Attempt to login to host failed.
(Jun 08 2017 10:43:05,  847592 sec) UpLoad()             Files successfully uploaded: 0
(Jun 08 2017 10:43:05,  847592 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Jun 08 2017 10:43:05,  847592 sec) logout()             No carrier detected.
