(Oct 14 2017 14:43:17,  846739 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,75,097,50,27,14,172,40,31,33,017,46,32,29,076,45*7B
(Oct 14 2017 14:43:26,  846747 sec) LogNmeaSentences()   $GPRMC,144300,A,1211.6882,N,08707.8427,E,001.5,063.9,141017,001.4,W*6F
(Oct 14 2017 14:43:26,  846747 sec) LogNmeaSentences()   $GPGGA,144300,1211.6882,N,08707.8427,E,1,11,0.7,0.6,M,-75.8,M,,*60
(Oct 14 2017 14:43:26,  846748 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,10,11,14,16,22,,26,27,31,32,1.1,0.7,0.8*3E
(Oct 14 2017 14:43:27,  846748 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,21,262,40,03,25,322,43,10,20,147,42,11,08,242,37*77
(Oct 14 2017 14:43:27,  846748 sec) LogNmeaSentences()   $GPGSV,3,2,12,14,35,054,45,16,57,179,47,22,46,315,42,23,01,307,42*70
(Oct 14 2017 14:43:27,  846749 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,75,097,49,27,14,172,39,31,33,017,45,32,29,076,45*7E
(Oct 14 2017 14:43:28,  846749 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Oct 14 2017 14:43:28,  846749 sec) GpsServices()        GPS services complete.
(Oct 14 2017 14:43:52,  846774 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 14:44:03,  846785 sec) CLogin()             Connection 1 established in 11 seconds.
(Oct 14 2017 14:44:33,  846814 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 14:44:33,  846814 sec) login()              Login prompt not received.
(Oct 14 2017 14:45:03,  846844 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 14:45:03,  846844 sec) login()              Login prompt not received.
(Oct 14 2017 14:45:03,  846844 sec) login()              No carrier detected.
(Oct 14 2017 14:45:03,  846844 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 14:45:03,  846844 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Oct 14 2017 14:45:08,  846850 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 14:45:31,  846872 sec) CLogin()             Connection 2 established in 23 seconds.
(Oct 14 2017 14:46:01,  846902 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 14:46:01,  846902 sec) login()              Login prompt not received.
(Oct 14 2017 14:46:31,  846932 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 14:46:31,  846932 sec) login()              Login prompt not received.
(Oct 14 2017 14:46:31,  846932 sec) login()              No carrier detected.
(Oct 14 2017 14:46:31,  846932 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 14:46:31,  846932 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Oct 14 2017 14:46:31,  846932 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Oct 14 2017 14:46:31,  846933 sec) WriteVitals()        Writing vitals to "9567.108.msg".
(Oct 14 2017 14:46:34,  846935 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 14:46:46,  846947 sec) CLogin()             Connection 3 established in 12 seconds.
(Oct 14 2017 14:47:16,  846977 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 14:47:16,  846977 sec) login()              Login prompt not received.
(Oct 14 2017 14:47:46,  847007 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 14:47:46,  847007 sec) login()              Login prompt not received.
(Oct 14 2017 14:47:46,  847007 sec) login()              No carrier detected.
(Oct 14 2017 14:47:46,  847007 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 14:47:46,  847008 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 14:48:14,  847036 sec) CLogin()             Connection 4 established in 28 seconds.
(Oct 14 2017 14:48:44,  847065 sec) expect()             Attempt to read prompt string [login:] failed.
