Message,20240718T153723,Firmware: 07/21/23 18:56:40 2.17.4 STD IRID Final
Message,20240718T153723,Username: f10469
GPS,20240718T153723,18.043842,68.389091,9
GPS,20240718T154804,18.042543,68.390991,9
CTD_P,20240718T154806,-0.07
FLBB_CFG,20240718T154808,695,700
Message,20240718T154808,Park Descent Mission
CTD_P,20240718T154811,-0.28
CTD_P,20240718T154925,0.03
CTD_P,20240718T155027,0.42
CTD_P,20240718T155129,0.40
CTD_P,20240718T155232,0.02
CTD_P,20240718T155334,0.82
CTD_P,20240718T155436,6.46
CTD_P,20240718T155538,15.53
CTD_P,20240718T155641,23.70
CTD_P,20240718T155743,32.31
CTD_P,20240718T155845,42.65
CTD_P,20240718T155947,52.21
CTD_P,20240718T160049,61.96
CTD_P,20240718T160050,62.19
CTD_P,20240718T160152,72.89
CTD_P,20240718T170155,482.45
CTD_P,20240718T180158,754.46
CTD_P,20240718T185640,897.82
CTD_P,20240718T193629,958.20
CTD_P,20240718T200525,971.23
CTD_P,20240718T210528,984.37
CTD_P,20240718T210631,984.48
CTD_P,20240718T210734,984.58
CTD_P,20240718T210747,984.58
CTD_P,20240718T210849,985.17
CTD_P,20240718T210952,986.17
CTD_P,20240718T211003,986.38
CTD_P,20240718T211105,987.71
CTD_P,20240718T211116,987.98
CTD_P,20240718T211218,989.73
CTD_P,20240718T211936,1002.56
Message,20240718T211939,Park Mission
CTD_P,20240718T211942,1002.72
CTD_PTSH,20240718T212004,1003.30,8.4063,35.3320,-1.040155
CTD_P,20240718T212005,1003.34
CTD_P,20240718T221938,1050.92
CTD_PTSH,20240718T222001,1050.90,8.1160,35.3090,-1.040843
CTD_P,20240718T222002,1050.92
CTD_P,20240718T232003,1058.66
CTD_PTSH,20240718T232026,1058.70,8.0139,35.2870,-1.040911
CTD_P,20240718T232027,1058.69
CTD_P,20240719T002028,1058.68
CTD_PTSH,20240719T002051,1058.70,7.9824,35.2840,-1.040944
CTD_P,20240719T002052,1058.64
CTD_P,20240719T012053,1040.47
CTD_PTSH,20240719T012116,1040.50,8.0955,35.2940,-1.040902
CTD_P,20240719T012117,1040.53
CTD_P,20240719T022118,1041.56
CTD_PTSH,20240719T022141,1041.50,8.0622,35.2940,-1.040886
CTD_P,20240719T022142,1041.53
CTD_P,20240719T032143,1045.80
CTD_PTSH,20240719T032206,1045.80,8.0712,35.2950,-1.040977
CTD_P,20240719T032207,1045.85
CTD_P,20240719T042208,1025.24
CTD_PTSH,20240719T042231,1025.10,8.2595,35.3150,-1.040922
CTD_P,20240719T042232,1025.15
CTD_P,20240719T052233,1025.34
CTD_PTSH,20240719T052256,1025.40,8.1887,35.3070,-1.040924
CTD_P,20240719T052257,1025.37
CTD_P,20240719T062258,1025.91
CTD_PTSH,20240719T062321,1025.90,8.1841,35.3070,-1.040919
CTD_P,20240719T062322,1025.92
CTD_P,20240719T072324,1012.90
CTD_PTSH,20240719T072347,1012.90,8.2937,35.3180,-1.040894
CTD_P,20240719T072348,1012.91
CTD_P,20240719T082349,1013.03
CTD_PTSH,20240719T082412,1013.00,8.3090,35.3170,-1.040939
CTD_P,20240719T082413,1012.97
CTD_P,20240719T092414,1011.58
CTD_PTSH,20240719T092437,1011.50,8.2873,35.3190,-1.040890
CTD_P,20240719T092438,1011.53
CTD_P,20240719T102439,1013.07
CTD_PTSH,20240719T102502,1013.00,8.3023,35.3170,-1.040922
CTD_P,20240719T102503,1013.01
CTD_P,20240719T112504,1017.01
CTD_PTSH,20240719T112527,1017.10,8.3449,35.3200,-1.040920
CTD_P,20240719T112528,1017.05
CTD_P,20240719T122529,1013.43
CTD_PTSH,20240719T122552,1013.50,8.3115,35.3210,-1.040925
CTD_P,20240719T122553,1013.49
CTD_P,20240719T132554,1014.52
CTD_PTSH,20240719T132617,1014.50,8.2981,35.3170,-1.040997
CTD_P,20240719T132618,1014.47
CTD_P,20240719T142619,1014.21
CTD_PTSH,20240719T142642,1014.20,8.2902,35.3170,-1.040989
CTD_P,20240719T142643,1014.19
CTD_P,20240719T152644,1015.61
CTD_PTSH,20240719T152707,1015.60,8.3051,35.3190,-1.041043
CTD_P,20240719T152708,1015.56
CTD_P,20240719T162709,1014.99
CTD_PTSH,20240719T162732,1015.00,8.3067,35.3220,-1.041016
CTD_P,20240719T162733,1014.99
CTD_P,20240719T172734,1018.18
CTD_PTSH,20240719T172757,1018.20,8.3250,35.3210,-1.041037
CTD_P,20240719T172758,1018.19
CTD_P,20240719T182759,1014.93
CTD_PTSH,20240719T182822,1014.90,8.3075,35.3240,-1.041009
CTD_P,20240719T182823,1014.88
CTD_P,20240719T192824,1011.29
CTD_PTSH,20240719T192847,1011.30,8.2583,35.3160,-1.041023
CTD_P,20240719T192848,1011.28
CTD_P,20240719T202849,1013.26
CTD_PTSH,20240719T202912,1013.20,8.2636,35.3160,-1.041024
CTD_P,20240719T202913,1013.20
CTD_P,20240719T212914,1015.90
CTD_PTSH,20240719T212937,1015.90,8.2597,35.3150,-1.041058
CTD_P,20240719T212938,1015.90
CTD_P,20240719T222939,1016.31
CTD_PTSH,20240719T223002,1016.30,8.2799,35.3180,-1.041040
CTD_P,20240719T223003,1016.29
CTD_P,20240719T233004,1015.84
CTD_PTSH,20240719T233027,1015.70,8.2780,35.3160,-1.041063
CTD_P,20240719T233028,1015.73
CTD_P,20240720T003029,1016.12
CTD_PTSH,20240720T003052,1016.20,8.2590,35.3160,-1.041079
CTD_P,20240720T003053,1016.19
CTD_P,20240720T013054,1016.13
CTD_PTSH,20240720T013117,1016.10,8.2698,35.3140,-1.041050
CTD_P,20240720T013118,1016.07
CTD_P,20240720T023119,1014.53
CTD_PTSH,20240720T023142,1014.60,8.2296,35.3160,-1.041069
CTD_P,20240720T023143,1014.59
CTD_P,20240720T033144,1017.78
CTD_PTSH,20240720T033207,1017.80,8.2368,35.3110,-1.041110
CTD_P,20240720T033208,1017.80
CTD_P,20240720T043209,1022.28
CTD_PTSH,20240720T043232,1022.30,8.2996,35.3180,-1.041082
CTD_P,20240720T043233,1022.27
CTD_P,20240720T053234,1021.99
CTD_PTSH,20240720T053257,1021.90,8.3426,35.3210,-1.041034
CTD_P,20240720T053258,1021.95
CTD_P,20240720T063259,1017.70
CTD_PTSH,20240720T063322,1017.70,8.3502,35.3250,-1.041089
CTD_P,20240720T063323,1017.68
CTD_P,20240720T073324,1020.88
CTD_PTSH,20240720T073347,1021.00,8.3573,35.3240,-1.041062
CTD_P,20240720T073348,1020.93
CTD_P,20240720T083349,1022.34
CTD_PTSH,20240720T083412,1022.30,8.3654,35.3250,-1.041107
CTD_P,20240720T083413,1022.31
CTD_P,20240720T093414,1018.67
CTD_PTSH,20240720T093437,1018.60,8.3107,35.3200,-1.041119
CTD_P,20240720T093438,1018.63
CTD_P,20240720T103439,1014.34
CTD_PTSH,20240720T103502,1014.30,8.2670,35.3170,-1.041117
CTD_P,20240720T103503,1014.30
CTD_P,20240720T113504,1018.12
CTD_PTSH,20240720T113527,1018.10,8.2645,35.3140,-1.041147
CTD_P,20240720T113528,1018.05
CTD_P,20240720T123529,1018.71
CTD_PTSH,20240720T123552,1018.80,8.2707,35.3160,-1.041114
CTD_P,20240720T123553,1018.78
CTD_P,20240720T133554,1020.27
CTD_PTSH,20240720T133617,1020.20,8.2918,35.3180,-1.041109
CTD_P,20240720T133618,1020.24
CTD_P,20240720T143619,1021.59
CTD_PTSH,20240720T143642,1021.60,8.3059,35.3190,-1.041108
CTD_P,20240720T143643,1021.56
CTD_P,20240720T153644,1021.57
CTD_PTSH,20240720T153707,1021.60,8.2910,35.3180,-1.041110
CTD_P,20240720T153708,1021.58
CTD_P,20240720T163709,1022.38
CTD_PTSH,20240720T163732,1022.30,8.3443,35.3200,-1.041114
CTD_P,20240720T163733,1022.30
CTD_P,20240720T173734,1021.39
CTD_PTSH,20240720T173757,1021.30,8.3391,35.3230,-1.041138
CTD_P,20240720T173758,1021.30
CTD_P,20240720T183759,1020.60
CTD_PTSH,20240720T183822,1020.50,8.2949,35.3180,-1.041130
CTD_P,20240720T183823,1020.57
CTD_P,20240720T193824,1021.40
CTD_PTSH,20240720T193847,1021.30,8.2617,35.3140,-1.041127
CTD_P,20240720T193848,1021.34
CTD_P,20240720T203849,1020.27
CTD_PTSH,20240720T203912,1020.20,8.2714,35.3160,-1.041139
CTD_P,20240720T203913,1020.20
CTD_P,20240720T213914,1018.14
CTD_PTSH,20240720T213937,1018.10,8.2204,35.3140,-1.041142
CTD_P,20240720T213938,1018.06
CTD_P,20240720T223939,1017.88
CTD_PTSH,20240720T224002,1017.80,8.1617,35.3030,-1.041136
CTD_P,20240720T224003,1017.79
CTD_P,20240720T234004,1019.92
CTD_PTSH,20240720T234027,1019.80,8.1660,35.3020,-1.041191
CTD_P,20240720T234028,1019.81
CTD_P,20240721T004029,1021.08
CTD_PTSH,20240721T004052,1021.10,8.1828,35.3070,-1.041161
CTD_P,20240721T004053,1021.09
CTD_P,20240721T014054,1021.16
CTD_PTSH,20240721T014117,1021.10,8.2201,35.3080,-1.041147
CTD_P,20240721T014118,1021.08
CTD_P,20240721T024119,1021.06
CTD_PTSH,20240721T024142,1021.00,8.2046,35.3080,-1.041152
CTD_P,20240721T024143,1021.05
CTD_P,20240721T034144,1023.63
CTD_PTSH,20240721T034207,1023.50,8.2493,35.3150,-1.041110
CTD_P,20240721T034208,1023.52
CTD_P,20240721T044209,1020.71
CTD_PTSH,20240721T044232,1020.70,8.2483,35.3140,-1.041142
CTD_P,20240721T044233,1020.65
CTD_P,20240721T054234,1020.68
CTD_PTSH,20240721T054257,1020.60,8.2591,35.3140,-1.041120
CTD_P,20240721T054258,1020.57
CTD_P,20240721T064259,1021.87
CTD_PTSH,20240721T064322,1021.80,8.2583,35.3140,-1.041171
CTD_P,20240721T064323,1021.85
CTD_P,20240721T074324,1022.28
CTD_PTSH,20240721T074347,1022.30,8.2453,35.3140,-1.041169
CTD_P,20240721T074348,1022.32
CTD_P,20240721T084349,1023.31
CTD_PTSH,20240721T084412,1023.20,8.2643,35.3140,-1.041159
CTD_P,20240721T084413,1023.23
CTD_P,20240721T094414,1023.72
CTD_PTSH,20240721T094437,1023.70,8.2908,35.3170,-1.041123
CTD_P,20240721T094438,1023.72
CTD_P,20240721T104439,1023.61
CTD_PTSH,20240721T104502,1023.70,8.2882,35.3170,-1.041131
CTD_P,20240721T104503,1023.62
CTD_P,20240721T114504,1022.89
CTD_PTSH,20240721T114527,1022.80,8.2953,35.3180,-1.041176
CTD_P,20240721T114528,1022.84
CTD_P,20240721T124529,1021.49
CTD_PTSH,20240721T124552,1021.40,8.2610,35.3140,-1.041122
CTD_P,20240721T124553,1021.38
CTD_P,20240721T134554,1020.52
CTD_PTSH,20240721T134617,1020.50,8.2545,35.3150,-1.041196
CTD_P,20240721T134618,1020.52
CTD_P,20240721T144619,1020.65
CTD_PTSH,20240721T144642,1020.70,8.2204,35.3140,-1.041147
CTD_P,20240721T144643,1020.72
CTD_P,20240721T154644,1023.12
CTD_PTSH,20240721T154707,1023.00,8.2523,35.3150,-1.041136
CTD_P,20240721T154708,1023.02
CTD_P,20240721T164709,1020.68
CTD_PTSH,20240721T164732,1020.60,8.2619,35.3140,-1.041157
CTD_P,20240721T164733,1020.55
CTD_P,20240721T174734,1023.87
CTD_PTSH,20240721T174757,1024.00,8.2572,35.3140,-1.041178
CTD_P,20240721T174758,1023.98
CTD_P,20240721T184759,1025.01
CTD_PTSH,20240721T184822,1025.00,8.2799,35.3160,-1.041161
CTD_P,20240721T184823,1025.00
CTD_P,20240721T194824,1022.60
CTD_PTSH,20240721T194847,1022.60,8.2714,35.3180,-1.041165
CTD_P,20240721T194848,1022.62
CTD_P,20240721T204849,1024.75
CTD_PTSH,20240721T204912,1024.70,8.3313,35.3230,-1.041133
CTD_P,20240721T204913,1024.69
CTD_P,20240721T214914,1020.75
CTD_PTSH,20240721T214937,1020.80,8.2599,35.3190,-1.041164
