(Oct 04 2016 14:35:47,   14589 sec) UpLoad()             Files successfully uploaded: 0
(Oct 04 2016 14:35:47,   14589 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Oct 04 2016 14:35:52,   14594 sec) chat()               Expected string [cmd>] not received.
(Oct 04 2016 14:35:52,   14594 sec) logout()             Can't get command prompt.
(Oct 04 2016 14:35:54,   14596 sec) logout()             Log-out successful.
(Oct 04 2016 14:35:55,   14597 sec) Telemetry()          Telemetry cycle complete: PrfId=0 ConnectionAttempts=1  Connections=1
(Oct 04 2016 14:35:58,   14600 sec) configure()          Parsing configurators in "mission.cfg".
(Oct 04 2016 14:36:04,   14606 sec) configure()             TelemetryRetry(15)      [0x7BBC] [TelemetryRetry(15)].
(Oct 04 2016 14:36:05,   14607 sec) configure()          Configuration CRCs and syntax OK.
(Oct 04 2016 14:36:05,   14607 sec) ConfigSupervisor()   Sanity check violated: cfg->PressureCP >= 750
(Oct 04 2016 14:36:05,   14607 sec) ConfigSupervisor()   Configuration accepted.
(Oct 04 2016 14:51:13,   15515 sec) Prelude()            Logging configuration and initiating telemetry.
(Oct 04 2016 14:51:13,   15515 sec) LogConfiguration()   Mission configuration for Apf9i FwRev 061016:
(Oct 04 2016 14:51:13,   15515 sec) LogConfiguration()      AscentTimeOut(540) [min]
(Oct 04 2016 14:51:13,   15515 sec) LogConfiguration()      AtDialCmd(AT+CBST=71,0,1;DT0088160000573) [primary]
(Oct 04 2016 14:51:13,   15515 sec) LogConfiguration()      AltDialCmd(ATDT0013014291790) [alternate]
(Oct 04 2016 14:51:13,   15515 sec) LogConfiguration()      BuoyancyNudge(10) [count]
(Oct 04 2016 14:51:13,   15515 sec) LogConfiguration()      BuoyancyNudgeInitial(22) [count]
(Oct 04 2016 14:51:13,   15516 sec) LogConfiguration()      ConnectTimeOut(60) [sec]
(Oct 04 2016 14:51:13,   15516 sec) LogConfiguration()      CpActivationP(500) [dbar]
(Oct 04 2016 14:51:14,   15516 sec) LogConfiguration()      DeepProfileDescentTime(300) [min]
(Oct 04 2016 14:51:14,   15516 sec) LogConfiguration()      DeepProfilePistonPos(16) [count]
(Oct 04 2016 14:51:14,   15516 sec) LogConfiguration()      DeepProfilePressure(2000) [dbar]
(Oct 04 2016 14:51:14,   15516 sec) LogConfiguration()      CompensatorHyperRetraction(0) [count]
(Oct 04 2016 14:51:14,   15516 sec) LogConfiguration()      DownTime(13740) [min]
(Oct 04 2016 14:51:14,   15516 sec) LogConfiguration()      FlbbMode(1)
(Oct 04 2016 14:51:14,   15516 sec) LogConfiguration()      FloatId(7827)
