(Aug 20 2018 21:46:57,  863839 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,06,147,41,03,00,000,43,07,39,347,46,08,42,069,46*70
(Aug 20 2018 21:46:57,  863840 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,81,047,50,11,25,133,42,17,04,200,33,18,06,123,42*74
(Aug 20 2018 21:46:58,  863841 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,57,126,49,27,15,046,30,28,44,249,46,30,25,314,45*75
(Aug 20 2018 21:47:05,  863848 sec) LogNmeaSentences()   $GPRMC,214650,A,1532.3845,N,06630.4271,E,001.4,087.7,200818,000.8,W*6A
(Aug 20 2018 21:47:06,  863848 sec) LogNmeaSentences()   $GPGGA,214650,1532.3845,N,06630.4271,E,1,08,1.0,-3.7,M,-68.4,M,,*4D
(Aug 20 2018 21:47:06,  863849 sec) LogNmeaSentences()   $GPGSA,A,3,,,07,08,09,11,,,23,27,28,30,1.3,1.0,0.9*33
(Aug 20 2018 21:47:07,  863849 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,06,147,25,03,00,000,26,07,39,347,30,08,42,069,31*70
(Aug 20 2018 21:47:07,  863850 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,81,047,32,11,25,133,27,17,04,200,27,18,06,123,25*77
(Aug 20 2018 21:47:08,  863851 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,57,126,28,27,15,046,28,28,44,249,29,30,25,314,28*79
(Aug 20 2018 21:47:15,  863857 sec) LogNmeaSentences()   $GPRMC,214700,A,1532.3840,N,06630.4310,E,001.5,016.3,200818,000.8,W*60
(Aug 20 2018 21:47:16,  863858 sec) LogNmeaSentences()   $GPGGA,214700,1532.3840,N,06630.4310,E,1,08,1.0,-4.9,M,-68.4,M,,*43
(Aug 20 2018 21:47:16,  863859 sec) LogNmeaSentences()   $GPGSA,A,3,,07,08,09,11,,23,27,28,30,,,1.3,1.0,0.9*33
(Aug 20 2018 21:47:17,  863859 sec) LogNmeaSentences()   $GPGSV,3,1,12,03,00,000,25,07,39,348,23,08,42,069,27,09,81,047,29*73
(Aug 20 2018 21:47:17,  863860 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,25,133,28,18,06,123,25,23,57,126,32,27,15,046,23*7A
(Aug 20 2018 21:47:18,  863861 sec) LogNmeaSentences()   $GPGSV,3,3,12,28,44,249,24,30,25,314,21,01,06,147,00,17,04,201,00*7C
(Aug 20 2018 21:47:19,  863861 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 4.00,,,,,,,,*73
(Aug 20 2018 21:47:19,  863862 sec) GpsServices()        GPS services complete.
(Aug 20 2018 21:48:08,  863911 sec) CLogin()             Connecting to primary host.
(Aug 20 2018 21:48:20,  863923 sec) CLogin()             Connection 1 established in 12 seconds.
(Aug 20 2018 21:48:50,  863952 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 21:48:50,  863952 sec) login()              Login prompt not received.
(Aug 20 2018 21:49:20,  863982 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 21:49:20,  863982 sec) login()              Login prompt not received.
(Aug 20 2018 21:49:38,  864001 sec) CLogin()             Connection 2 established in 90 seconds.
(Aug 20 2018 21:50:08,  864030 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 21:50:08,  864030 sec) login()              Login prompt not received.
(Aug 20 2018 21:50:08,  864031 sec) login()              No carrier detected.
(Aug 20 2018 21:50:08,  864031 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Aug 20 2018 21:51:09,  864091 sec) chat()               Expected string [CONNECT] not received.
(Aug 20 2018 21:51:09,  864091 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Aug 20 2018 21:51:09,  864092 sec) connect()            Connection attempt failed.
(Aug 20 2018 21:52:10,  864152 sec) chat()               Expected string [CONNECT] not received.
(Aug 20 2018 21:52:10,  864152 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Aug 20 2018 21:52:10,  864153 sec) connect()            Connection attempt failed.
(Aug 20 2018 21:52:10,  864153 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Aug 20 2018 21:52:11,  864153 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Aug 20 2018 21:52:17,  864160 sec) CLogin()             Connecting to primary host.
(Aug 20 2018 21:53:18,  864220 sec) chat()               Expected string [CONNECT] not received.
(Aug 20 2018 21:53:18,  864220 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Aug 20 2018 21:53:18,  864221 sec) connect()            Connection attempt failed.
(Aug 20 2018 21:54:19,  864281 sec) chat()               Expected string [CONNECT] not received.
(Aug 20 2018 21:54:19,  864281 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Aug 20 2018 21:54:19,  864282 sec) connect()            Connection attempt failed.
(Aug 20 2018 21:54:19,  864282 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Aug 20 2018 21:55:20,  864342 sec) chat()               Expected string [CONNECT] not received.
(Aug 20 2018 21:55:20,  864342 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Aug 20 2018 21:55:20,  864343 sec) connect()            Connection attempt failed.
(Aug 20 2018 21:55:43,  864365 sec) CLogin()             Connection 3 established in 207 seconds.
(Aug 20 2018 21:56:36,  864418 sec) expect()             Attempt to read prompt string [Password:] failed.
(Aug 20 2018 21:56:36,  864418 sec) login()              Password prompt not received.
(Aug 20 2018 21:56:36,  864419 sec) login()              No carrier detected.
(Aug 20 2018 21:56:36,  864419 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Aug 20 2018 21:56:37,  864419 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Aug 20 2018 21:56:37,  864420 sec) DownLoadMissionCfg(  Aborting download: Retry limit [2] exceeded.
(Aug 20 2018 21:56:37,  864420 sec) WriteVitals()        Writing vitals to "7827.107.msg".
(Aug 20 2018 21:56:44,  864427 sec) CLogin()             Connecting to primary host.
(Aug 20 2018 21:57:09,  864451 sec) CLogin()             Connection 4 established in 25 seconds.
(Aug 20 2018 21:57:39,  864481 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 21:57:39,  864481 sec) login()              Login prompt not received.
(Aug 20 2018 21:58:09,  864511 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 21:58:09,  864511 sec) login()              Login prompt not received.
(Aug 20 2018 21:58:19,  864522 sec) CLogin()             Connection 5 established in 95 seconds.
(Aug 20 2018 21:58:49,  864551 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 21:58:49,  864551 sec) login()              Login prompt not received.
(Aug 20 2018 21:59:19,  864581 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 21:59:19,  864581 sec) login()              Login prompt not received.
(Aug 20 2018 21:59:19,  864582 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Aug 20 2018 22:00:20,  864642 sec) chat()               Expected string [CONNECT] not received.
(Aug 20 2018 22:00:20,  864642 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Aug 20 2018 22:00:20,  864643 sec) connect()            Connection attempt failed.
(Aug 20 2018 22:01:21,  864703 sec) chat()               Expected string [CONNECT] not received.
(Aug 20 2018 22:01:21,  864703 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Aug 20 2018 22:01:21,  864704 sec) connect()            Connection attempt failed.
(Aug 20 2018 22:01:21,  864704 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Aug 20 2018 22:01:22,  864705 sec) CLogin()             Connecting to primary host.
(Aug 20 2018 22:01:36,  864719 sec) CLogin()             Connection 6 established in 14 seconds.
(Aug 20 2018 22:02:07,  864749 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 22:02:07,  864749 sec) login()              Login prompt not received.
(Aug 20 2018 22:02:07,  864750 sec) login()              No carrier detected.
(Aug 20 2018 22:02:24,  864767 sec) CLogin()             Connection 7 established in 62 seconds.
(Aug 20 2018 22:02:54,  864796 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 22:02:54,  864796 sec) login()              Login prompt not received.
(Aug 20 2018 22:03:24,  864826 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 22:03:24,  864826 sec) login()              Login prompt not received.
(Aug 20 2018 22:03:24,  864827 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Aug 20 2018 22:03:58,  864861 sec) CLogin()             Connection 8 established in 156 seconds.
(Aug 20 2018 22:04:29,  864891 sec) expect()             Attempt to read prompt string [login:] failed.
(Aug 20 2018 22:04:29,  864891 sec) login()              Login prompt not received.
(Aug 20 2018 22:04:57,  864920 sec) login()              Login successful.
(Aug 20 2018 22:05:02,  864924 sec) chat()               Expected string [cmd>] not received.
(Aug 20 2018 22:05:02,  864924 sec) login()              Attempt to set the command prompt failed.
(Aug 20 2018 22:05:07,  864929 sec) chat()               Expected string [cmd>] not received.
(Aug 20 2018 22:05:07,  864929 sec) login()              Attempt to set the command prompt failed.
(Aug 20 2018 22:05:12,  864934 sec) chat()               Expected string [cmd>] not received.
(Aug 20 2018 22:05:12,  864934 sec) login()              Attempt to set the command prompt failed.
(Aug 20 2018 22:05:12,  864935 sec) CLogin()             Logged in to host.  [Login required 74 seconds]
(Aug 20 2018 22:05:34,  864957 sec) UpLoadFile()         Uploading "7827.107.log" to host as "7827.107.log".
(Aug 20 2018 22:05:46,  864969 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Aug 20 2018 22:05:57,  864980 sec) TxPacket()           Invalid response [0x65] - resending packet. [PktNum=0x01]
(Aug 20 2018 22:05:57,  864980 sec) TxPacket()           Packet xmit history: [01110001] (0:ok, 1:fail).
(Aug 20 2018 22:06:37,  865019 sec) TxPacket()           No carrier detected.
(Aug 20 2018 22:06:37,  865020 sec) TxPacket()           Exit status: -5
(Aug 20 2018 22:06:37,  865020 sec) Tx()                 Packet transmission failed - aborting transfer.
(Aug 20 2018 22:06:48,  865031 sec) UpLoadFile()         Upload failed.
(Aug 20 2018 22:06:48,  865031 sec) UpLoad()             Files successfully uploaded: 0
(Aug 20 2018 22:06:49,  865031 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Aug 20 2018 22:06:49,  865032 sec) logout()             No carrier detected.
(Aug 20 2018 22:06:49,  865032 sec) Telemetry()          Telemetry cycle complete: PrfId=107 ConnectionAttempts=15  Connections=8
(Aug 20 2018 22:22:04,  865946 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Aug 20 2018 22:22:41,  865983 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.5dbars / 232.6uM 26.143C 29.780 8.936 74.816 / 132,182,536
(Aug 20 2018 22:22:49,  865992 sec) GpsServices()        GPS almanac is current.
(Aug 20 2018 22:22:49,  865992 sec) GpsServices()        Initiating GPS fix acquisition.
(Aug 20 2018 22:23:06,  866009 sec) gga()                $GPGGA,222240,1532.3847,N,06630.4253,E,0,00,,,M,,M,,*57
(Aug 20 2018 22:23:49,  866052 sec) gga()                $GPGGA,222250,1532.3557,N,06630.9424,E,6,07,1.2,-3.7,M,-68.4,M,,*43
(Aug 20 2018 22:24:32,  866095 sec) gga()                $GPGGA,222300,1532.3537,N,06630.9428,E,6,07,1.2,-3.2,M,-68.4,M,,*48
(Aug 20 2018 22:25:57,  866180 sec) gga()                $GPGGA,222500,1532.3567,N,06630.9699,E,1,08,0.9,-5.9,M,-68.4,M,,*4C
(Aug 20 2018 22:25:58,  866181 sec) GpsServices()        Profile 107 GPS fix obtained in 188 seconds.
(Aug 20 2018 22:25:58,  866181 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Aug 20 2018 22:25:58,  866181 sec) GpsServices()        Fix:   66.516  15.539 08/20/2018 222500    8
(Aug 20 2018 22:26:47,  866230 sec) gga()                $GPGGA,222550,1532.3561,N,06630.9812,E,1,09,0.9,-2.1,M,-68.4,M,,*4C
(Aug 20 2018 22:26:55,  866238 sec) gga()                $GPGGA,222640,1532.3577,N,06630.9933,E,1,09,0.9,-5.6,M,-68.4,M,,*4B
(Aug 20 2018 22:26:55,  866238 sec) GpsServices()        APF9 RTC skew (15s) OK.
(Aug 20 2018 22:27:05,  866248 sec) LogNmeaSentences()   $GPRMC,222650,A,1532.3574,N,06630.9961,E,000.8,278.9,200818,000.8,W*66
