(May 22 2022 21:50:13,  854802 sec) LogNmeaSentences()   $GPRMC,215000,A,1947.3576,N,06042.5361,E,003.0,061.7,220522,000.4,E*7F
(May 22 2022 21:50:14,  854803 sec) LogNmeaSentences()   $GPGGA,215000,1947.3576,N,06042.5361,E,1,06,1.1,-6.9,M,-47.5,M,,*46
(May 22 2022 21:50:14,  854804 sec) LogNmeaSentences()   $GPGSA,A,3,,03,04,07,08,09,16,,,,,,1.5,1.1,0.9*39
(May 22 2022 21:50:15,  854804 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,05,181,36,03,64,178,46,04,52,023,46,07,35,275,44*7D
(May 22 2022 21:50:15,  854805 sec) LogNmeaSentences()   $GPGSV,3,2,12,08,16,145,38,09,38,335,45,16,39,051,45,27,12,094,41*7F
(May 22 2022 21:50:16,  854806 sec) LogNmeaSentences()   $GPGSV,3,3,12,06,18,226,00,11,05,179,00,18,07,186,00,23,50,059,00*70
(May 22 2022 21:50:16,  854806 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 4.00,,,,,,,,*73
(May 22 2022 21:50:17,  854807 sec) GpsServices()        GPS services complete.
(May 22 2022 21:51:06,  854856 sec) CLogin()             Connecting to primary host.
(May 22 2022 21:51:20,  854870 sec) CLogin()             Connection 1 established in 14 seconds.
(May 22 2022 21:51:52,  854901 sec) expect()             Attempt to read prompt string [Last login:] failed.
(May 22 2022 21:51:52,  854902 sec) login()              Login failed.
(May 22 2022 21:52:22,  854931 sec) expect()             Attempt to read prompt string [login:] failed.
(May 22 2022 21:52:22,  854932 sec) login()              Login prompt not received.
(May 22 2022 21:53:23,  854992 sec) chat()               Expected string [CONNECT] not received.
(May 22 2022 21:53:23,  854993 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(May 22 2022 21:53:23,  854993 sec) connect()            Connection attempt failed.
(May 22 2022 21:53:23,  854993 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(May 22 2022 21:54:24,  855053 sec) chat()               Expected string [CONNECT] not received.
(May 22 2022 21:54:24,  855054 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(May 22 2022 21:54:24,  855054 sec) connect()            Connection attempt failed.
(May 22 2022 21:55:25,  855114 sec) chat()               Expected string [CONNECT] not received.
(May 22 2022 21:55:25,  855115 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(May 22 2022 21:55:25,  855115 sec) connect()            Connection attempt failed.
(May 22 2022 21:55:25,  855115 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(May 22 2022 21:55:26,  855115 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(May 22 2022 21:55:32,  855122 sec) CLogin()             Connecting to primary host.
(May 22 2022 21:55:45,  855135 sec) CLogin()             Connection 2 established in 14 seconds.
(May 22 2022 21:56:20,  855169 sec) expect()             Attempt to read prompt string [Last login:] failed.
(May 22 2022 21:56:20,  855170 sec) login()              Login failed.
(May 22 2022 21:57:16,  855225 sec) expect()             Attempt to read prompt string [Password:] failed.
(May 22 2022 21:57:16,  855226 sec) login()              Password prompt not received.
(May 22 2022 21:58:17,  855286 sec) chat()               Expected string [CONNECT] not received.
(May 22 2022 21:58:17,  855287 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(May 22 2022 21:58:17,  855287 sec) connect()            Connection attempt failed.
(May 22 2022 21:58:17,  855287 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(May 22 2022 21:59:18,  855347 sec) chat()               Expected string [CONNECT] not received.
(May 22 2022 21:59:18,  855348 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(May 22 2022 21:59:18,  855348 sec) connect()            Connection attempt failed.
(May 22 2022 22:00:19,  855408 sec) chat()               Expected string [CONNECT] not received.
(May 22 2022 22:00:19,  855409 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(May 22 2022 22:00:19,  855409 sec) connect()            Connection attempt failed.
(May 22 2022 22:00:19,  855409 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(May 22 2022 22:00:20,  855409 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(May 22 2022 22:00:20,  855410 sec) DownLoadMissionCfg(  Aborting download: Retry limit [2] exceeded.
(May 22 2022 22:00:20,  855410 sec) WriteVitals()        Writing vitals to "7827.244.msg".
(May 22 2022 22:00:27,  855417 sec) CLogin()             Connecting to primary host.
(May 22 2022 22:00:56,  855446 sec) CLogin()             Connection 3 established in 29 seconds.
(May 22 2022 22:01:26,  855475 sec) expect()             Attempt to read prompt string [login:] failed.
(May 22 2022 22:01:26,  855476 sec) login()              Login prompt not received.
(May 22 2022 22:01:48,  855497 sec) login()              Login successful.
(May 22 2022 22:01:53,  855503 sec) CLogin()             Logged in to host.  [Login required 57 seconds]
(May 22 2022 22:02:05,  855515 sec) UpLoadFile()         Uploading "7827.244.msg" to host as "7827.244.msg".
(May 22 2022 22:02:08,  855518 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(May 22 2022 22:02:53,  855563 sec) TxPacket()           NAK received - resending packet. [PktNum=0x05]
(May 22 2022 22:02:53,  855563 sec) TxPacket()           Packet xmit history: [00000001] (0:ok, 1:fail).
(May 22 2022 22:03:29,  855599 sec) TxPacket()           NAK received - resending packet. [PktNum=0x08]
(May 22 2022 22:03:29,  855599 sec) TxPacket()           Packet xmit history: [00010001] (0:ok, 1:fail).
(May 22 2022 22:03:46,  855616 sec) TxPacket()           NAK received - resending packet. [PktNum=0x09]
(May 22 2022 22:03:47,  855616 sec) TxPacket()           Packet xmit history: [01000101] (0:ok, 1:fail).
(May 22 2022 22:03:53,  855623 sec) TxPacket()           NAK received - resending packet. [PktNum=0x09]
(May 22 2022 22:03:54,  855623 sec) TxPacket()           Packet xmit history: [10001011] (0:ok, 1:fail).
(May 22 2022 22:04:07,  855637 sec) TxPacket()           NAK received - resending packet. [PktNum=0x0a]
(May 22 2022 22:04:07,  855637 sec) TxPacket()           Packet xmit history: [00101101] (0:ok, 1:fail).
(May 22 2022 22:04:35,  855665 sec) TxPacket()           NAK received - resending packet. [PktNum=0x0c]
