wmo,ptt,imei,platform_maker,platform_type,platform_family,transmission_type,decoder_id,decoder_version,firmware_version,manual_version,frame_length,cycle_length_hours,drift_sampling_period_hours,delay_before_mission_minutes,launch_date_utc,launch_lon,launch_lat,launch_qc,start_date_utc,reference_day,end_decoding_date,dm_flag,argo_user_manual_version,wmo_inst_type,data_centre,pi_name,project_name,float_owner,operating_institution,battery_type,battery_packs,controller_board_primary_type,controller_board_primary_serial,deployment_platform,deployment_cruise_id,deployment_station_id,float_serial_no,sensors,transmission_system,positioning_system,profile_count_offset,config_profile_ref,notes,registry_schema_version,registry_row_updated_utc
6902892,589584,300234065895840,NKE,ARVOR_D,FLOAT_DEEP,3,221,5.67,5608A14,33-16-028_UTI,31,120,3.0,-1,2021-03-13T02:06:00Z,-47.0613,-47.0137,1,2021-03-13T02:18:00Z,2021-03-13,9999-12-31T23:59:59Z,False,3.1,838,IF,Christine PROVOST,GMMC BACI,IFREMER,LOCEAN,,2 WILPA2427B,I535,C157946-0088,SARMIENTO DE GAMBOA,SAGA 10W,yes,AD2700-18FR005,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC"", ""OPTODE_DOXY""]","[""IRIDIUM""]","[""GPS"", ""IRIDIUM""]",0,,bootstrapped from legacy json_float_info/json_float_meta,1.0.0,2026-07-19T21:27:08Z
6903014,850878,300234068508780,NKE,ARVOR,FLOAT,3,212,5.45,5900A04,33-16-033,31,24,1.0,-1,2020-10-14T06:02:00Z,-4.6267,36.3546,1,2020-10-14T05:45:00Z,2020-10-14,2020-11-09T00:00:00Z,False,3.1,844,IF,Franck DUMAS,CORIOLIS,SHOM,SHOM,,2 WILPA1621A,I535,C190228-0050,ATALANTE,PROTEUSGIB,CTD,AI2600-19FR107,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""IRIDIUM""]","[""GPS"", ""IRIDIUM""]",0,,bootstrapped from legacy json_float_info/json_float_meta,1.0.0,2026-07-19T21:27:08Z
2901304,102525,,WRC,APEX,FLOAT,1,1005,020811,020811,020811,31,240,240.0,-1,2011-02-13T07:50:00Z,57.5,-55.5,1,2011-02-14T02:12:23Z,2011-02-13,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,3D Alk + 1C Alk,APF9,9a-7319,orv sagar nidhi,,,5386,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",0,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2901328,102507,,WRC,APEX,FLOAT,1,1005,100410,100410,100410,31,240,240.0,-1,2011-08-29T04:00:00Z,85.5,12.5,1,2011-09-04T12:19:19Z,2011-08-29,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,3D Alk + 1C Alk,APF9,9a-7244,orv sagar kanya,,,5298,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",-1,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2901339,102510,,WRC,APEX,FLOAT,1,1005,61810,61810,61810,31,240,240.0,-1,2011-12-16T22:30:00Z,65.0,21.0,1,2011-12-27T21:30:55Z,2011-12-16,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,3D Alk + 1C Alk,APF9,9a-7335,orv sagar nidhi,,,5496,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",-1,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2901350,75415,,WRC,APEX,FLOAT,1,1005,61810,61810,61810,31,240,240.0,-1,2012-01-28T11:10:00Z,57.5,-42.0,1,2012-02-08T11:09:37Z,2012-01-28,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,3D Alk + 1C Alk,APF9,9a-7918,orv sagar nidhi,,,5775,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",-1,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2902201,152399,,WRC,APEX,FLOAT,1,1010,091515,091515,091515,31,240,240.0,-1,2016-03-06T17:42:00Z,67.0,16.5,1,2016-03-07T11:28:00Z,2016-03-06,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,4DD LI,APF9,9g-10827,frv sagar sampada,,,7542,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",0,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2902203,152398,,WRC,APEX,FLOAT,1,1010,091515,091515,091515,31,240,240.0,-1,2016-03-07T19:50:00Z,65.5,18.5,1,2016-03-08T12:27:27Z,2016-03-07,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,4DD LI,APF9,9g-10826,frv sagar sampada,,,7541,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",0,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2902206,152397,,WRC,APEX,FLOAT,1,1010,091515,091515,091515,31,240,240.0,-1,2016-03-11T08:45:00Z,65.75,20.0,1,2016-03-13T04:42:01Z,2016-03-11,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,4DD LI,APF9,9g-10812,frv sagar sampada,,,7540,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",0,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2902222,152389,,WRC,APEX,FLOAT,1,1010,091615,091615,091615,31,240,240.0,-1,2017-01-20T08:44:00Z,68.1,-53.0,1,2017-01-21T04:26:20Z,2017-01-20,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,4DD LI,APF9,9g-10795,s a agulhas,,,7532,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",0,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
2902223,152382,,WRC,APEX,FLOAT,1,1010,091615,091615,091615,31,240,240.0,-1,2017-01-21T01:25:00Z,69.0,-56.0,1,2017-01-21T20:38:31Z,2017-01-21,9999-12-31T23:59:59Z,False,3.1,846,IN,M Ravichandran,Argo INDIA,INCOIS,INCOIS,Alkaline,4DD LI,APF9,9g-10756,s a agulhas,,,7525,"[""CTD_PRES"", ""CTD_TEMP"", ""CTD_CNDC""]","[""ARGOS""]","[""ARGOS""]",0,,decoder_id verified empirically from raw-byte plausibility; np0 verified by JULD alignment vs GDAC,1.0.0,2026-08-11T13:02:54Z
