20250418T220540|3|network_reg|Modem Registration Failed: 12 tries
20250418T220540|4|sky_search|No sky
20250418T220540|4|BuoyEngine|Requested buoyancy position 4001 too large. Changing request to max: 3700
20250418T220542|5|start|Starting pot count: 3701
20250418T220543|5|BuoyEngine|Adjusting Buoyancy to 3700
20250418T220543|4|BuoyEngine|Within 2 counts, not moving
20250418T221823|5|SURFACE|Inflating air bladder
20250418T221823|5|inflate_once|Air engine started.
20250418T221825|5|air_engine_task|Air engine destination reached: 12.8 >= 12.0
20250418T221921|5|sky_search|Found the sky
20250418T221922|5|stop_profilers|Stopping profilers
20250418T221928|5|CTD|stop_profile|CP Already Stopped
20250418T221932|5|SURFACE|Surface Offset Pressure: -0.72
20250418T222436|3|wait_for_done|Timeout during GPS update
20250418T222942|3|wait_for_done|Timeout during GPS update
20250418T223447|3|wait_for_done|Timeout during GPS update
20250418T223631|5|network_quality|Modem Quality = 4
20250418T224807|3|network_reg|Modem Registration Failed: 12 tries
20250418T224807|4|transfer|No Signal.CSQ:0
20250418T224807|5|SURFACE|Uptime Timeout: 683 minutes
20250418T224807|5|go_to_state|Mission state SURFACE -> SURFACE
20250418T224811|5|stop_profilers|Stopping profilers
20250418T224818|5|CTD|stop_profile|CP Already Stopped
20250418T224829|5|WatchDog|WatchDog Events: 0
