Message,20250418T192158,Firmware: 12/04/18 17:42:38 2.12.2.1 STD Final
Message,20250418T192158,Username: f8673
Message,20250418T192158,Float ID: 029-0319
CTD_P,20250418T192158,-0.41
CTD_P,20250418T192159,-0.46
CTD_P,20250418T193701,-0.51
CTD_P,20250418T193702,-0.46
CTD_P,20250418T195204,-0.65
CTD_P,20250418T195205,-0.74
CTD_P,20250418T200706,-0.60
CTD_P,20250418T200707,-0.67
CTD_P,20250418T202208,-0.69
CTD_P,20250418T202209,-0.78
CTD_P,20250418T202234,-0.53
Message,20250418T202240,CP Already Stopped
CTD_P,20250418T202241,-0.70
CTD_P,20250418T202243,-0.70
CTD_P,20250418T202244,-0.74
CTD_P,20250418T205010,-0.76
CTD_P,20250418T205011,-0.61
CTD_P,20250418T205046,-0.66
Message,20250418T205052,CP Already Stopped
CTD_P,20250418T205053,-0.46
CTD_P,20250418T205055,-0.44
CTD_P,20250418T205056,-0.54
CTD_P,20250418T211055,-0.40
CTD_P,20250418T211056,-0.50
CTD_P,20250418T212558,-0.76
CTD_P,20250418T212559,-0.66
CTD_P,20250418T212644,-0.55
Message,20250418T212650,CP Already Stopped
CTD_P,20250418T212652,-0.76
CTD_P,20250418T212653,-0.74
CTD_P,20250418T212654,-0.80
CTD_P,20250418T220324,-0.63
CTD_P,20250418T220325,-0.80
CTD_P,20250418T221826,-0.57
CTD_P,20250418T221827,-0.74
CTD_P,20250418T221922,-0.81
Message,20250418T221928,CP Already Stopped
CTD_P,20250418T221930,-0.73
CTD_P,20250418T221931,-0.78
CTD_P,20250418T221932,-0.72
CTD_P,20250418T224809,-0.65
CTD_P,20250418T224810,-0.80
CTD_P,20250418T224811,-0.67
Message,20250418T224818,CP Already Stopped
